PLAYER,POS,REAL POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Tyler Soderstrom,C,C,OAK,SD,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 6 L-R
Tommy Pham,OF,OF,SD,@OAK,,3700,0.0,0.0,5.8,1.6,6.9,1.9,W 6 L-R
Khris Davis,OF,OF,OAK,SD,,3500,0.0,0.0,2.0,0.6,4.1,1.2,W 6 L-R
Andy Young,2B,2B/3B,ARI,@SF,,2300,0.0,0.0,3.0,1.3,4.7,2.0,W 6 Out
Alex De Goti,2B,2B/SS,HOU,@LAA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 7 Out
Tony Kemp,2B,2B,OAK,SD,,2900,0.0,0.0,3.8,1.3,4.0,1.4,W 6 L-R
Braden Bishop,OF,OF,SEA,TEX,,2200,0.0,0.0,5.2,2.4,4.0,1.8,In Dome
CJ Abrams,SS,SS,SD,@OAK,,2600,0.0,0.0,0.0,0.0,0.0,0.0,W 6 L-R
Corbin Carroll,OF,OF,ARI,@SF,,2200,0.0,0.0,0.0,0.0,0.0,0.0,W 6 Out
Greg Deichmann,OF,OF,OAK,SD,,2200,0.0,0.0,0.0,0.0,0.0,0.0,W 6 L-R
Cal Raleigh,C,C,SEA,TEX,,2300,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Kean Wong,2B,2B,SF,ARI,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 6 Out
Jonah Heim,C,C,OAK,SD,,3100,0.0,0.0,7.0,2.3,7.0,2.3,W 6 L-R
Michael Papierski,C,C,HOU,@LAA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 7 Out
Pavin Smith,1B,1B,ARI,@SF,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 6 Out
Luis Barrera,OF,OF,OAK,SD,,2200,0.0,0.0,0.0,0.0,0.0,0.0,W 6 L-R
Jose Siri,OF,OF,SF,ARI,,2200,0.0,0.0,0.0,0.0,0.0,0.0,W 6 Out
Hudson Head,OF,OF,SD,@OAK,,2200,0.0,0.0,0.0,0.0,0.0,0.0,W 6 L-R
Brayan Buelvas,OF,OF,OAK,SD,,2200,0.0,0.0,0.0,0.0,0.0,0.0,W 6 L-R
Tyler Keenan,3B,3B,SEA,TEX,,2200,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Zach DeLoach,OF,OF,SEA,TEX,,2200,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Kaden Polcovich,2B,2B,SEA,TEX,,2100,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Robert Puason,SS,SS,OAK,SD,,2200,0.0,0.0,0.0,0.0,0.0,0.0,W 6 L-R
Robert Hassell,OF,OF,SD,@OAK,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 6 L-R
Jose Altuve,2B,2B,HOU,@LAA,,4700,0.0,0.0,4.8,1.0,6.6,1.4,W 7 Out
Colton Shaver,C,C,HOU,@LAA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 7 Out
Yadiel Rivera,2B,2B/OF,TEX,@SEA,,2100,0.0,0.0,1.3,0.6,1.3,0.6,In Dome
Marcus Semien,SS,SS,OAK,SD,,4700,0.0,0.0,8.8,1.9,7.2,1.5,W 6 L-R
John Hicks,1B,1B/C,ARI,@SF,,2500,0.0,0.0,0.0,0.0,0.0,0.0,W 6 Out
Sheldon Neuse,2B,2B,OAK,SD,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 6 L-R
Jack Kruger,C,C,LAA,HOU,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 7 Out
Logan Davidson,SS,SS,OAK,SD,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 6 L-R
David Fletcher,2B,2B/SS,LAA,HOU,,5000,0.0,0.0,6.2,1.2,8.3,1.7,W 7 Out
Mallex Smith,OF,OF,SEA,TEX,,2200,0.0,0.0,3.2,1.5,3.1,1.4,In Dome
Alek Thomas,OF,OF,ARI,@SF,,2200,0.0,0.0,0.0,0.0,0.0,0.0,W 6 Out
Brian O'Keefe,C,C,SEA,TEX,,2100,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Wyatt Mathisen,2B,2B/3B,ARI,@SF,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 6 Out
