"Name","Team","PA","Pitches","HR","AVG","OBP","SLG","OPS","SB","wOBA","wRC+","ISO","K%","GB%","LD%","FB%","HR/FB","Barrel%","EV","FA% (pfx)","wFA/C (pfx)","FT% (pfx)","wFT/C (pfx)","FC% (pfx)","wFC/C (pfx)","FS% (pfx)","wFS/C (pfx)","FO% (pfx)","wFO/C (pfx)","SI% (pfx)","wSI/C (pfx)","SL% (pfx)","wSL/C (pfx)","CU% (pfx)","wCU/C (pfx)","KC% (pfx)","wKC/C (pfx)","EP% (pfx)","wEP/C (pfx)","CH% (pfx)","wCH/C (pfx)","SC% (pfx)","wSC/C (pfx)","KN% (pfx)","wKN/C (pfx)","playerid"
"Pedro Severino","Orioles","97","394","5",".318",".396",".541",".937","1",".400","154",".224","19.6%","40.9%","22.7%","36.4%","20.8%","7.5%","86.0","27.4%","7.96","","","9.9%","-0.78","3.3%","-0.18","","","18.8%","-4.34","19.3%","-1.05","9.4%","-2.95","4.3%","-4.10","","","7.6%","1.87","","","","","14523"
"Yordan Alvarez","Astros","9","35","1",".250",".333",".625",".958","0",".399","158",".375","11.1%","57.1%","14.3%","28.6%","50.0%","0.0%","98.6","42.9%","2.87","","","5.7%","-42.21","","","","","17.1%","-1.62","17.1%","-5.72","11.4%","-2.44","","","","","5.7%","-2.81","","","","","19556"
"Nicholas Castellanos","Reds","128","501","10",".265",".344",".619",".963","0",".397","148",".354","26.6%","28.8%","30.0%","41.3%","30.3%","17.5%","91.7","25.2%","6.12","","","8.6%","-4.41","0.6%","-15.14","","","17.8%","1.29","26.6%","0.46","10.6%","-3.15","1.6%","-3.88","","","9.2%","-4.67","","","","","11737"
"Ryan McBroom","Royals","57","240","4",".315",".351",".593",".943","0",".396","150",".278","36.8%","33.3%","18.2%","48.5%","25.0%","15.2%","91.1","31.4%","-4.82","","","5.9%","7.16","0.4%","-6.66","","","15.5%","0.37","21.8%","3.02","14.2%","-2.06","2.1%","4.47","","","8.8%","1.15","","","","","16524"
"Jonah Heim","Athletics","4","11","0",".333",".500",".333",".833","0",".395","155",".000","0.0%","33.3%","33.3%","33.3%","0.0%","0.0%","79.6","","","","","","","","","","","72.7%","-0.34","18.2%","-2.06","9.1%","-5.63","","","","","","","","","","","16930"
"Brandon Nimmo","Mets","129","571","5",".255",".411",".500",".911","1",".395","155",".245","18.6%","37.7%","23.4%","39.0%","16.7%","7.7%","88.1","45.5%","0.95","","","6.1%","1.08","2.1%","1.78","","","11.2%","-1.30","11.6%","-1.03","10.5%","-3.65","3.7%","-3.78","","","9.3%","-1.71","","","","","12927"
"Nick Markakis","Braves","48","207","1",".318",".375",".545",".920","0",".391","145",".227","14.6%","40.5%","27.0%","32.4%","8.3%","2.7%","88.6","42.0%","-2.03","","","4.4%","2.86","6.8%","-2.88","","","15.9%","-5.12","15.0%","1.46","3.4%","25.65","1.9%","0.54","","","10.6%","4.95","","","","","5930"
"Tomas Nido","Mets","26","91","2",".292",".346",".583",".929","0",".389","151",".292","23.1%","66.7%","11.1%","22.2%","50.0%","11.1%","88.8","45.1%","-4.97","","","7.7%","-6.85","","","","","6.6%","2.43","16.5%","4.81","11.0%","4.43","2.2%","27.78","","","11.0%","-1.51","","","","","13755"
"Marcell Ozuna","Braves","129","531","8",".282",".380",".555",".934","0",".389","144",".273","24.0%","41.3%","23.8%","35.0%","28.6%","12.5%","92.4","24.7%","3.12","","","7.7%","0.51","3.2%","4.42","","","20.0%","-1.11","21.7%","-5.38","8.7%","-1.77","1.1%","18.18","","","13.0%","2.16","","","","","10324"
"William Contreras","Braves","10","36","0",".400",".400",".500",".900","0",".388","144",".100","40.0%","16.7%","66.7%","16.7%","0.0%","16.7%","84.6","33.3%","9.22","","","","","","","","","27.8%","1.54","25.0%","-0.49","5.6%","-2.82","","","","","8.3%","-11.72","","","","","20503"
"Erik Kratz","Yankees","15","50","0",".357",".400",".500",".900","0",".388","147",".143","13.3%","50.0%","33.3%","16.7%","0.0%","0.0%","86.7","28.0%","15.33","","","12.0%","-8.08","","","","","18.0%","-0.20","22.0%","-8.04","12.0%","-4.82","","","","","8.0%","4.21","","","","","4403"
"Ty France","Padres","55","205","2",".320",".382",".520",".902","0",".386","146",".200","27.3%","40.0%","31.4%","28.6%","20.0%","8.6%","85.4","24.9%","-0.35","","","11.7%","-3.19","1.5%","13.44","","","24.4%","7.89","12.7%","5.41","16.1%","-6.37","","","","","8.8%","-7.81","","","","","17982"
"Garrett Cooper","Marlins","11","60","0",".364",".364",".545",".909","0",".385","147",".182","27.3%","37.5%","37.5%","25.0%","0.0%","12.5%","91.7","18.3%","8.41","","","11.7%","0.17","","","","","30.0%","-2.32","16.7%","-4.73","3.3%","1.19","5.0%","-22.21","","","15.0%","-4.47","","","","","15279"
"Derek Fisher","Blue Jays","15","67","0",".250",".400",".500",".900","0",".385","145",".250","33.3%","42.9%","0.0%","57.1%","0.0%","14.3%","92.4","34.3%","5.07","","","9.0%","-3.46","6.0%","-0.87","","","19.4%","-0.72","16.4%","-2.49","6.0%","-0.16","","","","","9.0%","-2.22","","","","","16192"
"Austin Nola","Mariners","107","415","5",".313",".374",".542",".915","0",".384","149",".229","15.9%","35.0%","23.8%","41.3%","15.2%","6.3%","90.7","38.3%","0.73","","","5.3%","0.71","1.5%","-11.20","","","14.7%","0.50","21.5%","0.14","6.3%","8.79","2.2%","-5.74","","","10.4%","-2.53","","","","","15941"
