Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RP,T.J. Zeuch (15454694),T.J. Zeuch,15454694,P,5900,NYY@TOR 09/21/2020 06:37PM ET,TOR,7.15
SP,Trevor Richards (15454692),Trevor Richards,15454692,P,5900,TB@NYM 09/21/2020 07:10PM ET,TB,5.67
RP,Yennsy Diaz (15454697),Yennsy Diaz,15454697,P,5800,NYY@TOR 09/21/2020 06:37PM ET,TOR,0
SP,Thomas Hatch (15454698),Thomas Hatch,15454698,P,5800,NYY@TOR 09/21/2020 06:37PM ET,TOR,5.15
2B/OF,Brandon Lowe (15454016),Brandon Lowe,15454016,2B/OF,5800,TB@NYM 09/21/2020 07:10PM ET,TB,9.18
SP,Franklyn Kilome (15454696),Franklyn Kilome,15454696,P,5800,TB@NYM 09/21/2020 07:10PM ET,NYM,2.28
SP,Tony Santillan (15454701),Tony Santillan,15454701,P,5700,MIL@CIN 09/21/2020 06:40PM ET,CIN,0
SP,Mitch Keller (15454700),Mitch Keller,15454700,P,5700,CHC@PIT 09/21/2020 07:05PM ET,PIT,10.88
RP,Andrew Miller (15454699),Andrew Miller,15454699,P,5700,STL@KC 09/21/2020 08:05PM ET,STL,2.66
OF,Aaron Judge (15454018),Aaron Judge,15454018,OF,5700,NYY@TOR 09/21/2020 06:37PM ET,NYY,10.33
SP,Sal Romano (15454704),Sal Romano,15454704,P,5600,MIL@CIN 09/21/2020 06:40PM ET,CIN,3.5
OF,Starling Marte (15454019),Starling Marte,15454019,OF,5600,MIA@ATL 09/21/2020 07:10PM ET,MIA,8.2
SP,Touki Toussaint (15454702),Touki Toussaint,15454702,P,5600,MIA@ATL 09/21/2020 07:10PM ET,ATL,5.42
SP,Huascar Ynoa (15454703),Huascar Ynoa,15454703,P,5600,MIA@ATL 09/21/2020 07:10PM ET,ATL,4.1
2B/3B,DJ LeMahieu (15454020),DJ LeMahieu,15454020,2B/3B,5600,NYY@TOR 09/21/2020 06:37PM ET,NYY,10.33
SS,Trevor Story (15454024),Trevor Story,15454024,SS,5500,COL@SF 09/21/2020 09:45PM ET,COL,10.61
1B,Freddie Freeman (15454022),Freddie Freeman,15454022,1B,5500,MIA@ATL 09/21/2020 07:10PM ET,ATL,11.23
SP,Bryse Wilson (15454705),Bryse Wilson,15454705,P,5500,MIA@ATL 09/21/2020 07:10PM ET,ATL,1.76
OF,Teoscar Hernandez (15454023),Teoscar Hernandez,15454023,OF,5500,NYY@TOR 09/21/2020 06:37PM ET,TOR,10.23
3B,Nolan Arenado (15454025),Nolan Arenado,15454025,3B,5400,COL@SF 09/21/2020 09:45PM ET,COL,7.08
OF,Mike Yastrzemski (15454027),Mike Yastrzemski,15454027,OF,5400,COL@SF 09/21/2020 09:45PM ET,SF,9.67
1B,Luke Voit (15454026),Luke Voit,15454026,1B,5400,NYY@TOR 09/21/2020 06:37PM ET,NYY,10.78
OF,Christian Yelich (15454030),Christian Yelich,15454030,OF,5300,MIL@CIN 09/21/2020 06:40PM ET,MIL,8.4
1B,Paul Goldschmidt (15454031),Paul Goldschmidt,15454031,1B,5300,STL@KC 09/21/2020 08:05PM ET,STL,7.7
SP,Chi Chi Gonzalez (15454706),Chi Chi Gonzalez,15454706,P,5300,COL@SF 09/21/2020 09:45PM ET,COL,3.45
SP,Kendall Graveman (15454707),Kendall Graveman,15454707,P,5300,HOU@SEA 09/21/2020 09:10PM ET,SEA,2.72
3B,Gio Urshela (15454028),Gio Urshela,15454028,3B,5300,NYY@TOR 09/21/2020 06:37PM ET,NYY,8.22
SS,Bo Bichette (15454029),Bo Bichette,15454029,SS,5300,NYY@TOR 09/21/2020 06:37PM ET,TOR,10.09
2B,Keston Hiura (15454033),Keston Hiura,15454033,2B,5200,MIL@CIN 09/21/2020 06:40PM ET,MIL,8
OF,Whit Merrifield (15454032),Whit Merrifield,15454032,OF,5200,STL@KC 09/21/2020 08:05PM ET,KC,8.98
3B,Brian Anderson (15454034),Brian Anderson,15454034,3B,5200,MIA@ATL 09/21/2020 07:10PM ET,MIA,7.30
RP,Julian Merryweather (15454710),Julian Merryweather,15454710,P,5200,NYY@TOR 09/21/2020 06:37PM ET,TOR,4.63
RP,Diego Castillo (15454708),Diego Castillo,15454708,P,5200,TB@NYM 09/21/2020 07:10PM ET,TB,3.78
RP,Robert Gsellman (15454709),Robert Gsellman,15454709,P,5200,TB@NYM 09/21/2020 07:10PM ET,NYM,0.15
RP,Giovanny Gallegos (15454712),Giovanny Gallegos,15454712,P,5100,STL@KC 09/21/2020 08:05PM ET,STL,3.24
OF,Charlie Blackmon (15454035),Charlie Blackmon,15454035,OF,5100,COL@SF 09/21/2020 09:45PM ET,COL,8.22
2B,Ozzie Albies (15454039),Ozzie Albies,15454039,2B,5100,MIA@ATL 09/21/2020 07:10PM ET,ATL,8.86
3B,Kyle Seager (15454036),Kyle Seager,15454036,3B,5100,HOU@SEA 09/21/2020 09:10PM ET,SEA,7.87
RP,Jose Alvarado (15454711),Jose Alvarado,15454711,P,5100,TB@NYM 09/21/2020 07:10PM ET,TB,2.67
RP,Amir Garrett (15454714),Amir Garrett,15454714,P,5000,MIL@CIN 09/21/2020 06:40PM ET,CIN,4.01
RP,Matt Bowman (15454715),Matt Bowman,15454715,P,5000,MIL@CIN 09/21/2020 06:40PM ET,CIN,0
