Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2020,"Jonathan Villar","2 Tms",12,30,26,8,6,1,0,1,4,3,4,0,5,0,0,0,0,2,1,0.307692307,10071
2020,"Mike Trout","LAA",17,55,44,17,5,3,0,9,17,19,9,2,9,0,2,0,0,1,0,0.386363636,10155
2020,"Tucker Barnhart","CIN",13,33,32,5,2,1,0,2,4,5,1,0,11,0,0,0,0,0,0,0.15625,10200
2020,"Jose Iglesias","BAL",10,28,25,9,5,4,0,0,2,4,1,0,2,2,0,0,0,0,0,0.36,10231
2020,"Randal Grichuk","TOR",14,50,44,12,6,2,0,4,12,8,5,1,12,0,1,0,1,0,0,0.272727272,10243
2020,"Brandon Belt","SFG",12,37,29,15,9,3,0,3,8,6,8,0,6,0,0,0,1,0,0,0.517241379,10264
2020,"Danny Santana","TEX",9,26,23,3,2,1,0,0,4,0,3,0,9,0,0,0,0,1,0,0.130434782,10322
2020,"Marcell Ozuna","ATL",18,65,56,19,14,2,0,3,10,7,9,0,14,0,0,0,1,0,0,0.339285714,10324
2020,"Domingo Santana","CLE",10,23,20,5,3,2,0,0,2,5,3,0,8,0,0,0,0,0,0,0.25,10348
2020,"Enrique Hernandez","LAD",13,36,35,10,6,1,1,2,7,9,0,0,9,1,0,0,1,0,0,0.285714285,10472
2020,"Cesar Hernandez","CLE",17,50,43,18,11,6,0,1,11,5,7,0,9,0,0,0,1,0,0,0.418604651,10556
2020,"Gio Urshela","NYY",16,55,51,16,7,3,0,6,10,17,2,0,9,1,1,0,1,1,0,0.31372549,10681
2020,"Corey Dickerson","MIA",10,25,24,5,4,0,0,1,2,3,1,0,4,0,0,0,0,0,0,0.208333333,10762
2020,"Jurickson Profar","SDP",15,39,28,4,3,0,0,1,7,3,8,0,6,2,1,0,0,1,0,0.142857142,10815
2020,"Andrelton Simmons","LAA",7,22,20,7,5,2,0,0,4,3,2,0,2,0,0,0,0,0,0,0.35,10847
2020,"Adam Duvall","ATL",14,44,39,12,7,2,0,3,9,7,3,0,11,1,1,0,1,0,0,0.307692307,10950
2020,"Greg Garcia","SDP",13,25,20,5,3,2,0,0,1,4,3,0,7,0,0,2,0,0,0,0.25,10951
2020,"Kevin Kiermaier","TBR",17,46,37,6,4,1,1,0,4,6,8,0,12,1,0,0,0,2,0,0.162162162,11038
2020,"Kole Calhoun","ARI",16,60,51,12,3,4,0,5,11,12,9,0,8,0,0,0,1,0,0,0.235294117,11200
2020,"Adam Eaton","WSN",14,49,48,13,6,4,0,3,7,9,1,0,9,0,0,0,1,0,0,0.270833333,11205
2020,"Jonathan Schoop","DET",20,62,56,16,9,1,1,5,9,12,5,0,11,1,0,0,3,0,0,0.285714285,11265
2020,"Whit Merrifield","KCR",19,68,63,12,10,1,0,1,9,3,4,0,10,1,0,0,2,5,0,0.19047619,11281
2020,"Jesus Aguilar","MIA",9,26,23,5,4,1,0,0,2,6,0,0,4,0,3,0,0,0,0,0.217391304,11342
2020,"Yasmani Grandal","CHW",14,44,37,8,5,1,0,2,3,3,7,0,16,0,0,0,1,0,0,0.216216216,11368
2020,"Gary Sanchez","NYY",16,52,48,6,3,0,0,3,5,5,3,0,19,1,0,0,1,0,0,0.125,11442
2020,"Mark Canha","OAK",18,63,49,11,8,1,0,2,7,10,9,0,16,3,2,0,0,0,0,0.224489795,11445
2020,"Tony Wolters","COL",16,38,38,8,7,1,0,0,1,3,0,0,9,0,0,0,0,0,0,0.210526315,11470
2020,"Christian Yelich","MIL",17,56,45,10,5,1,1,3,9,6,11,1,15,0,0,0,0,3,0,0.222222222,11477
2020,"Manny Machado","SDP",18,61,54,18,7,4,1,6,13,15,7,2,11,0,0,0,4,3,0,0.333333333,11493
2020,"Bryce Harper","PHI",20,64,47,12,8,1,1,2,11,7,15,3,11,1,1,0,3,2,1,0.255319148,11579
2020,"Willson Contreras","CHC",19,57,47,13,6,4,0,3,11,9,5,0,17,5,0,0,2,0,0,0.276595744,11609
2020,"Nick Castellanos","CIN",19,66,56,12,6,2,0,4,9,9,9,0,23,1,0,0,1,0,1,0.214285714,11737
2020,"J.T. Realmuto","PHI",21,64,55,10,3,2,0,5,11,11,6,0,18,3,0,0,1,3,0,0.181818181,11739
2020,"Joc Pederson","LAD",18,58,46,7,5,1,0,1,8,1,8,0,7,3,0,0,3,1,0,0.152173913,11899
2020,"Hanser Alberto","BAL",18,58,58,16,11,4,0,1,7,5,0,0,8,0,0,0,1,1,0,0.275862068,11902
