Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1B,Josh Fuentes (15414720),Josh Fuentes,15414720,1B,3400,OAK@COL 09/16/2020 03:10PM ET,COL,6
OF,AJ Pollock (15414718),AJ Pollock,15414718,OF,3400,LAD@SD 09/16/2020 04:10PM ET,LAD,7.64
C,Yadier Molina (15414719),Yadier Molina,15414719,C,3400,STL@MIL 09/16/2020 05:10PM ET,STL,5.2
2B,Ronny Rodriguez (15414771),Ronny Rodriguez,15414771,2B,3400,STL@MIL 09/16/2020 05:10PM ET,MIL,0
2B/OF,Chris Owings (15414772),Chris Owings,15414772,2B/OF,3300,OAK@COL 09/16/2020 03:10PM ET,COL,5.18
2B/OF,Kike Hernandez (15414722),Kike Hernandez,15414722,2B/OF,3300,LAD@SD 09/16/2020 04:10PM ET,LAD,5.42
OF,Tommy Pham (15414774),Tommy Pham,15414774,OF,3300,LAD@SD 09/16/2020 04:10PM ET,SD,6.91
SS,Orlando Arcia (15414721),Orlando Arcia,15414721,SS,3300,STL@MIL 09/16/2020 05:10PM ET,MIL,4.72
1B,Daniel Vogelbach (15414724),Daniel Vogelbach,15414724,1B,3300,STL@MIL 09/16/2020 05:10PM ET,MIL,5.21
3B,Luis Urias (15414725),Luis Urias,15414725,3B,3300,STL@MIL 09/16/2020 05:10PM ET,MIL,5.06
1B,Daniel Murphy (15414726),Daniel Murphy,15414726,1B,3200,OAK@COL 09/16/2020 03:10PM ET,COL,4.81
OF,Ben Gamel (15414727),Ben Gamel,15414727,OF,3200,STL@MIL 09/16/2020 05:10PM ET,MIL,4.76
C,Andrew Knizner (15414775),Andrew Knizner,15414775,C,3200,STL@MIL 09/16/2020 05:10PM ET,STL,3
SS,Alan Trejo (15414776),Alan Trejo,15414776,SS,3100,OAK@COL 09/16/2020 03:10PM ET,COL,0
2B,Gavin Lux (15414728),Gavin Lux,15414728,2B,3100,LAD@SD 09/16/2020 04:10PM ET,LAD,6.5
C,Jason Castro (15414729),Jason Castro,15414729,C,3100,LAD@SD 09/16/2020 04:10PM ET,SD,5.5
OF,Skye Bolt (15414777),Skye Bolt,15414777,OF,3000,OAK@COL 09/16/2020 03:10PM ET,OAK,0
OF,Jurickson Profar (15414730),Jurickson Profar,15414730,OF,3000,LAD@SD 09/16/2020 04:10PM ET,SD,6.77
C,Matt Wieters (15414731),Matt Wieters,15414731,C,3000,STL@MIL 09/16/2020 05:10PM ET,STL,2.36
OF,Khris Davis (15414732),Khris Davis,15414732,OF,2900,OAK@COL 09/16/2020 03:10PM ET,OAK,5.17
C,Dom Nunez (15414778),Dom Nunez,15414778,C,2900,OAK@COL 09/16/2020 03:10PM ET,COL,0
