PLAYER,POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Whit Merrifield,OF,KC,CLE,1,3400,12.0,3.5,11.8,3.5,12.1,3.6,W 4 R-L
Manuel Margot,OF,TB,@NYY,1,2400,12.0,5.0,6.1,2.6,7.5,3.1,W 9 R-L
Carlos Correa,SS,HOU,TEX,3,3000,12.0,4.0,4.9,1.7,9.0,3.0,In Dome
Jake Cronenworth,2B,SD,@LAA,7,3200,11.9,3.7,16.3,5.1,11.2,3.5,W 7 Out
Miguel Sano,C1,MIN,CWS,7,3300,11.9,3.6,7.4,2.3,10.4,3.1,W 8 R-L
Dexter Fowler,OF,STL,@CIN,8,2600,11.9,4.6,16.5,6.3,8.6,3.3,W 7 Out
Travis d'Arnaud,C1,ATL,@BOS,5,3000,11.7,3.9,6.2,2.1,11.3,3.8,W 10 R-L
Paul DeJong,SS,STL,@CIN,5,3100,11.6,3.7,14.9,4.8,11.5,3.7,W 7 Out
Jonathan Schoop,2B,DET,@MIL,2,3100,11.5,3.7,14.4,4.6,11.2,3.6,In Dome
Michael Brantley,OF,HOU,TEX,6,2900,11.5,4.0,15.7,5.4,11.6,4.0,In Dome
Raimel Tapia,OF,COL,SF,1,3100,11.4,3.7,7.6,2.5,7.9,2.6,W 3 R-L
Eloy Jimenez,OF,CWS,@MIN,5,3700,11.4,3.1,10.7,2.9,12.1,3.3,W 8 R-L
Max Kepler,OF,MIN,CWS,1,3000,11.2,3.8,5.0,1.7,10.3,3.4,W 8 R-L
Austin Nola,C1,SD,@LAA,5,2800,11.2,4.0,8.1,2.9,10.1,3.6,W 7 Out
Luis Robert,OF,CWS,@MIN,7,3600,11.2,3.1,19.4,5.4,12.3,3.4,W 8 R-L
Keston Hiura,2B,MIL,DET,3,3400,11.1,3.3,9.9,2.9,10.3,3.0,In Dome
Anthony Rendon,3B,LAA,SD,3,3700,11.1,3.0,6.2,1.7,11.9,3.2,W 7 Out
Shohei Ohtani,OF,LAA,SD,,3000,11.1,3.7,-3.5,0.0,-3.5,0.0,W 7 Out
Anthony Santander,OF,BAL,NYM,2,3300,11.1,3.4,12.5,3.8,13.5,4.1,W 9 Out
Kris Bryant,3B,CHC,@PIT,2,3000,11.0,3.7,3.0,1.0,7.2,2.4,W 8 Out
Kolten Wong,2B,STL,@CIN,1,2500,10.9,4.4,11.3,4.5,8.3,3.3,W 7 Out
Rhys Hoskins,C1,PHI,WAS,2,3700,10.9,3.0,23.2,6.3,13.6,3.7,W 8 Out
Bobby Dalbec,3B,BOS,ATL,7,2400,10.9,4.6,12.6,5.3,12.6,5.3,W 10 R-L
Charlie Blackmon,OF,COL,SF,4,4100,10.9,2.7,1.2,0.3,11.0,2.7,W 3 R-L
Yuli Gurriel,C1,HOU,TEX,5,2900,10.9,3.8,8.8,3.0,10.4,3.6,In Dome
Eddie Rosario,OF,MIN,CWS,4,2900,10.8,3.7,4.3,1.5,10.3,3.5,W 8 R-L
Yoan Moncada,3B,CWS,@MIN,2,3400,10.8,3.2,9.3,2.7,10.1,3.0,W 8 R-L
Luke Voit,C1,NYY,TB,2,4000,10.8,2.7,13.9,3.5,14.0,3.5,W 9 R-L
Carlos Santana,C1,CLE,@KC,4,3000,10.8,3.6,11.2,3.8,9.5,3.2,W 4 R-L
Edwin Encarnacion,C1,CWS,@MIN,6,2800,10.8,3.9,13.1,4.7,8.2,2.9,W 8 R-L
Willy Adames,SS,TB,@NYY,6,2700,10.7,4.0,16.2,6.0,10.5,3.9,W 9 R-L
Joc Pederson,OF,LAD,ARI,5,2700,10.7,4.0,8.1,3.0,8.1,3.0,W 6 Out
Christian Walker,C1,ARI,@LAD,3,3000,10.7,3.6,12.3,4.1,10.2,3.4,W 6 Out
Victor Reyes,OF,DET,@MIL,1,2300,10.6,4.6,16.3,7.1,9.5,4.1,In Dome
Mike Brosseau,2B,TB,@NYY,2,2500,10.6,4.3,1.8,0.7,6.3,2.5,W 9 R-L
Javier Baez,SS,CHC,@PIT,4,3200,10.6,3.3,5.7,1.8,8.3,2.6,W 8 Out
Ryan O'Hearn,C1,KC,CLE,4,2400,10.6,4.4,9.4,3.9,7.3,3.1,W 4 R-L
Andrew McCutchen,OF,PHI,WAS,1,3200,10.5,3.3,19.5,6.1,11.3,3.5,W 8 Out
Austin Meadows,OF,TB,@NYY,3,3100,10.5,3.4,7.3,2.4,10.0,3.2,W 9 R-L
Jurickson Profar,2B,SD,@LAA,8,2700,10.5,3.9,10.6,3.9,8.5,3.2,W 7 Out
Starling Marte,OF,MIA,TOR,3,3100,10.4,3.4,14.5,4.7,11.2,3.6,In Dome
Byron Buxton,OF,MIN,CWS,9,2500,10.4,4.2,3.8,1.5,8.4,3.4,W 8 R-L
Jorge Polanco,SS,MIN,CWS,2,2700,10.4,3.9,7.5,2.8,8.0,3.0,W 8 R-L
Sam Hilliard,OF,COL,SF,7,3000,10.4,3.5,1.8,0.6,7.4,2.5,W 3 R-L
Johan Camargo,2B,ATL,@BOS,9,2200,10.4,4.7,10.5,4.8,6.9,3.1,W 10 R-L
Tommy Edman,3B,STL,@CIN,2,2600,10.4,4.0,9.2,3.5,9.0,3.5,W 7 Out
DJ LeMahieu,2B,NYY,TB,1,3400,10.3,3.0,13.6,4.0,11.9,3.5,W 9 R-L
Shin-Soo Choo,OF,TEX,@HOU,1,2700,10.3,3.8,11.9,4.4,9.1,3.4,In Dome
Alex Verdugo,OF,BOS,ATL,6,2900,10.2,3.5,13.5,4.7,10.9,3.8,W 10 R-L
Will Smith,C1,LAD,ARI,9,2800,10.2,3.7,13.0,4.6,9.7,3.5,W 6 Out
Ryan Braun,C1,MIL,DET,5,2600,10.1,3.9,5.7,2.2,7.1,2.7,In Dome
Justin Upton,OF,LAA,SD,5,2500,10.1,4.0,13.7,5.5,6.7,2.7,W 7 Out
Kevin Pillar,OF,COL,SF,5,3300,10.1,3.1,9.3,2.8,9.3,2.8,W 3 R-L
Matt Carpenter,3B,STL,@CIN,7,2600,10.0,3.9,7.5,2.9,8.2,3.1,W 7 Out
Jeimer Candelario,C1,DET,@MIL,4,2700,10.0,3.7,17.0,6.3,10.2,3.8,In Dome
Clint Frazier,OF,NYY,TB,4,2900,10.0,3.4,7.3,2.5,11.9,4.1,W 9 R-L
Jose Abreu,C1,CWS,@MIN,4,3600,10.0,2.8,8.1,2.2,13.5,3.7,W 8 R-L
Christian Vazquez,C1,BOS,ATL,5,2300,9.9,4.3,4.8,2.1,7.7,3.3,W 10 R-L
Vladimir Guerrero,C1,TOR,@MIA,5,3100,9.9,3.2,11.9,3.9,9.9,3.2,In Dome
Bryce Harper,OF,PHI,WAS,3,4200,9.9,2.4,8.5,2.0,14.4,3.4,W 8 Out
