PLAYER,POS,REAL POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Christopher Morel,3B,3B,CHC,@PIT,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 2 L-R
Derek Dietrich,1B,1B/2B,TEX,@HOU,,3300,0.0,0.0,3.2,1.0,4.9,1.5,In Dome
Carlos Correa,SS,SS,HOU,TEX,,4800,0.0,0.0,2.6,0.5,6.7,1.4,In Dome
Josh Bell,1B,1B,PIT,CHC,,3700,0.0,0.0,9.2,2.5,5.6,1.5,W 2 L-R
Sam Huff,C,C,TEX,@HOU,,2000,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Nico Hoerner,2B,2B/3B,CHC,@PIT,,2200,0.0,0.0,3.0,1.4,4.5,2.0,W 2 L-R
Hernan Perez,2B,2B/SS,CHC,@PIT,,2300,0.0,0.0,1.0,0.4,1.0,0.4,W 2 L-R
Willie Calhoun,OF,OF,TEX,@HOU,,2000,0.0,0.0,4.4,2.2,3.4,1.7,In Dome
Danny Santana,1B,1B,TEX,@HOU,,3700,0.0,0.0,3.2,0.9,5.6,1.5,In Dome
Will Craig,1B,1B,PIT,CHC,,2400,0.0,0.0,0.0,0.0,0.0,0.0,W 2 L-R
Ian Miller,OF,OF,CHC,@PIT,,4400,0.0,0.0,0.0,0.0,0.0,0.0,W 2 L-R
Josh Phegley,C,C,CHC,@PIT,,2100,0.0,0.0,3.2,1.5,2.4,1.1,W 2 L-R
Jared Oliva,OF,OF,PIT,CHC,,2400,0.0,0.0,0.0,0.0,0.0,0.0,W 2 L-R
Colton Shaver,C,C,HOU,TEX,,2100,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
P.J. Higgins,C,C,CHC,@PIT,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 2 L-R
Christian Kelley,C,C,PIT,CHC,,2400,0.0,0.0,0.0,0.0,0.0,0.0,W 2 L-R
Travis Swaggerty,OF,OF,PIT,CHC,,2400,0.0,0.0,0.0,0.0,0.0,0.0,W 2 L-R
Rob Refsnyder,1B,1B/OF,TEX,@HOU,,2000,0.0,0.0,2.2,1.1,2.4,1.2,In Dome
Albert Almora,OF,OF,CHC,@PIT,,2100,0.0,0.0,1.8,0.9,1.3,0.6,W 2 L-R
Jeff Mathis,C,C,TEX,@HOU,,3300,0.0,0.0,4.4,1.3,4.8,1.5,In Dome
Jake Meyers,OF,OF,HOU,TEX,,2100,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Mason Martin,1B,1B/OF,PIT,CHC,,2400,0.0,0.0,0.0,0.0,0.0,0.0,W 2 L-R
Chas McCormick,OF,OF,HOU,TEX,,2100,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
