PLAYER,POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Jorge Ona,OF,SD,SF,7,2000,9.5,4.8,1.5,0.8,1.5,0.8,W 9 L-R
Christian Walker,C1,ARI,LAD,3,2900,9.3,3.2,10.7,3.7,10.4,3.6,In Dome
Josh Rojas,OF,ARI,LAD,1,2000,9.2,4.6,6.8,3.4,5.5,2.7,In Dome
David Peralta,OF,ARI,LAD,2,2800,9.0,3.2,8.7,3.1,8.7,3.1,In Dome
Donovan Solano,2B,SF,@SD,3,2500,8.6,3.4,13.0,5.2,10.5,4.2,W 9 L-R
Brandon Belt,C1,SF,@SD,4,3200,8.4,2.6,11.4,3.6,10.8,3.4,W 9 L-R
Eduardo Escobar,3B,ARI,LAD,5,2600,8.3,3.2,8.0,3.1,8.1,3.1,In Dome
Evan Longoria,3B,SF,@SD,5,2800,8.2,2.9,7.0,2.5,9.6,3.4,W 9 L-R
Kole Calhoun,OF,ARI,LAD,4,2900,8.1,2.8,12.5,4.3,10.6,3.7,In Dome
Wilmer Flores,2B,SF,@SD,6,2900,8.1,2.8,8.0,2.8,10.6,3.7,W 9 L-R
Jake Lamb,3B,ARI,LAD,6,2000,7.9,4.0,4.3,2.2,2.7,1.4,In Dome
Mauricio Dubon,SS,SF,@SD,9,2000,7.4,3.7,10.0,5.0,6.7,3.4,W 9 L-R
