"Name","Team","HR/9","HR/FB","ERA","FIP","xFIP","WHIP","Strikes","FA% (pfx)","wFA/C (pfx)","FT% (pfx)","wFT/C (pfx)","FC% (pfx)","wFC/C (pfx)","FS% (pfx)","wFS/C (pfx)","FO% (pfx)","wFO/C (pfx)","SI% (pfx)","wSI/C (pfx)","SL% (pfx)","wSL/C (pfx)","CU% (pfx)","wCU/C (pfx)","KC% (pfx)","wKC/C (pfx)","EP% (pfx)","wEP/C (pfx)","CH% (pfx)","wCH/C (pfx)","SC% (pfx)","wSC/C (pfx)","KN% (pfx)","wKN/C (pfx)","GS","Start-IP","playerid"
"Ryan Meisinger","Cardinals","0.00","0.0%","0.00","6.56","7.30","1.88","30","38.7%","0.08","","","","","","","","","24.2%","0.94","33.9%","5.80","","","","","","","3.2%","10.67","","","","","0","","18105"
"Jarlin Garcia","Giants","0.00","0.0%","0.00","3.19","5.45","1.00","129","43.8%","4.57","","","","","","","","","2.5%","-2.26","35.0%","4.16","","","0.5%","4.31","","","18.2%","2.64","","","","","0","","18282"
"Josh Sborz","Dodgers","0.00","0.0%","0.00","1.19","3.14","0.00","6","57.1%","3.14","","","","","","","","","","","42.9%","24.23","","","","","","","","","","","","","0","","18323"
"Nick Anderson","Rays","0.00","0.0%","0.00","0.67","3.13","0.58","113","67.3%","3.13","","","","","","","","","0.6%","-3.63","","","32.1%","6.19","","","","","","","","","","","0","","18337"
"Travis Bergen","- - -","0.00","0.0%","0.00","3.83","5.09","1.50","44","61.1%","1.98","","","","","","","","","","","","","37.8%","3.61","","","","","1.1%","5.48","","","","","0","","18581"
"Nick Neidert","Marlins","0.00","0.0%","0.00","4.48","4.48","0.86","14","80.0%","6.00","","","","","","","","","","","3.3%","5.48","10.0%","-0.98","","","","","6.7%","6.34","","","","","0","","18699"
"Mitchell White","Dodgers","0.00","0.0%","0.00","4.19","8.10","2.00","10","36.4%","7.85","","","","","","","","","13.6%","0.03","27.3%","-11.04","22.7%","4.01","","","","","","","","","","","0","","19225"
"Jacob Webb","Braves","0.00","0.0%","0.00","1.52","2.17","1.33","42","41.0%","2.21","","","","","","","","","","","","","16.4%","-2.29","","","","","42.6%","5.21","","","","","0","","19274"
"Jimmy Lambert","White Sox","0.00","0.0%","0.00","1.19","5.10","1.00","20","48.5%","7.03","","","","","","","","","","","6.1%","13.54","30.3%","1.12","","","","","15.2%","3.93","","","","","0","","19541"
"Mike Brosseau","Rays","0.00","0.0%","0.00","-2.81","-2.81","0.00","3","","","","","","","","","","","","","","","100.0%","6.80","","","","","","","","","","","0","","19683"
"Kodi Whitley","Cardinals","0.00","0.0%","0.00","0.94","1.67","0.00","24","41.0%","4.61","","","","","","","","","","","25.6%","0.96","","","","","","","33.3%","5.18","","","","","0","","19731"
"Darwinzon Hernandez","Red Sox","0.00","0.0%","0.00","2.12","2.54","1.29","61","70.7%","0.72","","","","","","","","","","","28.3%","6.76","1.1%","4.31","","","","","","","","","","","0","","19848"
"Jeremy Beasley","Diamondbacks","0.00","0.0%","0.00","-2.81","-2.81","6.00","9","37.5%","0.69","","","","","","","","","","","25.0%","3.71","","","","","","","37.5%","-8.75","","","","","0","","20205"
"Jordan Holloway","Marlins","0.00","0.0%","0.00","12.19","18.06","9.00","9","68.8%","-5.65","","","","","","","","","","","","","31.3%","1.42","","","","","","","","","","","0","","20631"
"Devin Williams","Brewers","0.50","12.5%","0.50","0.97","1.11","0.61","190","42.1%","-0.71","","","3.3%","4.23","","","","","2.3%","-13.32","","","","","","","","","52.3%","5.43","","","","","0","","15816"
"Austin Gomber","Cardinals","0.00","0.0%","0.53","2.90","4.74","1.18","184","53.6%","1.53","","","","","","","","","","","16.0%","2.11","","","26.1%","4.06","","","4.3%","3.43","","","","","2","5.2","16561"
"A.J. Minter","Braves","0.00","0.0%","0.54","2.41","4.17","1.02","190","37.3%","3.23","","","42.4%","1.61","","","","","","","","","","","","","","","20.3%","3.21","","","","","0","","18655"
"Tony Watson","Giants","0.64","8.3%","0.64","3.19","3.94","0.64","131","3.5%","2.17","","","","","","","","","35.2%","3.03","15.4%","3.07","","","","","","","46.0%","1.75","","","","","0","","3132"
"Adam Kolarek","Dodgers","0.00","0.0%","0.64","2.19","3.59","0.64","126","5.1%","3.96","","","","","","","","","75.4%","3.67","11.3%","9.64","","","","","","","8.2%","-0.63","","","","","0","","10843"
"Chris Martin","Braves","0.69","9.1%","0.69","2.19","2.84","0.38","128","5.8%","7.22","","","14.7%","5.32","","","","","38.7%","1.44","30.4%","2.69","","","","","","","10.5%","3.47","","","","","0","","11847"
"Darren O'Day","Braves","0.00","0.0%","0.71","1.53","3.38","0.79","140","46.0%","4.51","","","","","","","","","11.5%","2.62","42.5%","0.35","","","","","","","","","","","","","0","","3321"
"Shane Greene","Braves","0.00","0.0%","0.82","2.69","4.38","0.82","174","2.5%","16.41","","","25.4%","3.97","","","","","38.2%","2.84","22.9%","1.87","","","","","","","11.1%","6.33","","","","","0","","10756"
"Kwang-hyun Kim","Cardinals","0.42","4.8%","0.83","3.60","4.90","0.92","208","46.0%","4.46","","","","","","","","","","","33.3%","-0.09","12.0%","0.55","","","","","8.6%","8.69","","","","","4","20.2","27458"
"Nick Tropeano","Pirates","0.84","7.7%","0.84","3.28","4.45","1.13","96","27.4%","-0.58","","","","","23.6%","-2.26","","","7.6%","-9.36","29.9%","4.32","","","","","","","11.5%","3.13","","","","","0","","12385"
"Matt Wisler","Twins","0.92","7.4%","0.92","3.90","5.26","0.97","210","17.6%","0.89","","","","","","","","","","","82.4%","3.55","","","","","","","","","","","","","4","7.2","12804"
"Yimi Garcia","Marlins","0.00","0.0%","0.93","1.64","3.05","0.93","100","53.6%","2.70","","","","","","","","","","","24.2%","-0.44","13.1%","2.53","","","","","9.2%","6.37","","","","","0","","12095"
"Kyle Cody","Rangers","0.00","0.0%","0.93","3.40","4.81","1.34","98","33.3%","2.39","","","","","","","","","19.1%","4.50","34.0%","4.14","","","","","","","13.6%","1.10","","","","","2","5.1","19686"
"Jesse Hahn","Royals","0.00","0.0%","0.93","3.29","5.11","1.03","113","1.6%","0.00","","","","","","","","","51.6%","2.41","3.8%","-5.34","42.9%","4.20","","","","","","","","","","","0","","13287"
"Luis Garcia","Astros","0.96","14.3%","0.96","4.90","4.98","0.75","88","55.3%","1.53","","","7.9%","2.31","","","","","","","14.5%","8.34","5.3%","2.67","","","","","17.1%","3.31","","","","","1","5.0","23735"
"Jeremy Jeffress","Cubs","0.00","0.0%","0.98","3.52","4.80","0.82","152","14.5%","5.41","","","","","30.9%","4.47","","","28.1%","3.06","","","","","26.5%","4.27","","","","","","","","","0","","9490"
"Alex Colome","White Sox","0.00","0.0%","1.08","2.95","4.24","1.08","189","27.6%","0.93","","","72.4%","2.31","","","","","","","","","","","","","","","","","","","","","0","","6661"
"Erasmo Ramirez","Mets","1.13","9.1%","1.13","4.69","5.75","0.63","52","4.8%","-19.95","","","20.2%","4.86","","","","","47.6%","4.13","14.3%","11.89","6.0%","7.91","","","","","7.1%","3.41","","","","","0","","10314"
"Taylor Guilbeau","Mariners","0.00","0.0%","1.17","4.75","6.80","1.83","74","0.8%","-6.18","","","","","","","","","57.7%","2.18","16.2%","11.63","","","","","","","25.4%","-5.75","","","","","0","","18306"
"Jordan Romano","Blue Jays","1.23","25.0%","1.23","3.12","2.42","0.89","149","40.3%","5.22","","","","","","","","","","","59.8%","1.12","","","","","","","","","","","","","0","","16122"
"Aaron Bummer","White Sox","0.00","0.0%","1.23","1.55","1.82","1.09","78","2.4%","-19.42","","","10.2%","3.62","","","","","82.7%","3.45","4.7%","16.71","","","","","","","","","","","","","0","","16258"
"Oliver Perez","Indians","0.00","0.0%","1.26","2.91","4.96","0.98","141","15.1%","-0.31","","","","","","","","","42.5%","6.53","42.5%","0.21","","","","","","","","","","","","","0","","1514"
"Victor Gonzalez","Dodgers","0.00","0.0%","1.29","1.90","3.16","0.64","130","6.3%","-3.18","","","","","","","","","59.4%","1.14","32.8%","8.01","","","","","","","1.6%","-12.47","","","","","0","","16408"
"Zach Plesac","Indians","1.06","12.5%","1.32","2.90","3.21","0.74","331","38.6%","-0.32","","","","","","","","","","","25.3%","5.30","10.6%","3.90","","","","","25.5%","5.68","","","","","5","34.0","19979"
"Liam Hendriks","Athletics","0.44","6.7%","1.33","1.32","2.12","0.69","196","71.3%","1.19","","","","","","","","","","","21.7%","5.60","7.0%","11.92","","","","","","","","","","","0","","3548"
"Thomas Hatch","Blue Jays","0.89","9.1%","1.33","4.17","5.01","0.84","196","47.7%","3.79","","","","","","","","","7.4%","5.22","20.9%","-0.87","","","","","","","24.0%","3.34","","","","","1","2.1","19264"
"Sean Reid-Foley","Blue Jays","0.00","0.0%","1.35","4.09","5.85","1.35","74","63.2%","2.47","","","","","","","","","","","30.8%","2.67","","","","","","","6.0%","-0.05","","","","","0","","17034"
"Caleb Thielbar","Twins","0.00","0.0%","1.35","1.76","3.82","1.28","169","52.9%","2.46","","","","","","","","","","","22.2%","-2.01","24.9%","5.68","","","","","","","","","","","0","","10078"
"J.B. Wendelken","Athletics","0.46","5.0%","1.37","2.73","4.06","1.12","204","47.6%","1.25","","","","","","","","","10.6%","0.43","27.6%","6.00","7.9%","-3.40","","","","","6.4%","6.62","","","","","0","","14506"
"Dylan Floro","Dodgers","0.00","0.0%","1.42","2.45","3.69","1.11","194","","","","","","","","","","","47.4%","2.12","33.7%","1.31","","","","","","","18.9%","5.37","","","","","0","","13394"
"Carlos Hernandez","Royals","0.00","0.0%","1.42","3.35","5.51","1.11","56","18.1%","7.10","","","","","","","","","39.4%","3.87","","","33.0%","-4.27","","","","","9.6%","3.95","","","","","0","","22713"
"Jose Alvarez","Phillies","0.00","0.0%","1.42","2.72","3.64","1.58","80","14.0%","-0.52","","","2.3%","2.11","","","","","39.5%","1.32","21.7%","1.23","","","","","","","22.5%","2.30","","","","","0","","5358"
"Matt Foster","White Sox","0.48","7.1%","1.45","2.23","3.00","0.80","188","52.9%","1.80","","","","","","","","","0.4%","-3.63","9.4%","6.02","","","","","","","37.3%","4.50","","","","","2","4.0","19647"
"Andre Scrubb","Astros","0.00","0.0%","1.47","4.34","6.04","1.58","171","","","","","51.9%","3.06","","","","","","","","","","","48.1%","3.42","","","","","","","","","0","","20329"
"Dean Kremer","Orioles","0.00","0.0%","1.50","2.36","4.31","0.67","47","39.8%","5.55","","","13.6%","5.07","","","","","11.4%","0.80","","","35.2%","7.58","","","","","","","","","","","1","6.0","19350"
"Brad Brach","Mets","1.50","13.3%","1.50","4.94","5.22","1.17","122","20.7%","0.05","","","32.8%","-1.00","","","","","14.7%","9.23","10.1%","-3.59","","","","","","","21.7%","5.76","","","","","0","","6627"
"Kyle Zimmer","Royals","0.00","0.0%","1.53","2.45","3.78","1.02","185","51.6%","2.64","","","","","","","","","","","35.0%","1.51","10.7%","1.86","","","","","2.8%","11.49","","","","","1","2.0","14169"
"John Curtiss","Rays","1.02","12.5%","1.53","2.96","3.26","0.91","188","55.3%","-0.78","","","","","","","","","0.8%","5.91","43.9%","4.38","","","","","","","","","","","","","1","1.1","16128"
"Tanner Scott","Orioles","0.51","10.0%","1.53","3.64","4.01","0.96","169","63.6%","0.96","","","","","","","","","1.4%","-10.75","35.0%","4.78","","","","","","","","","","","","","0","","17586"
"Shane Bieber","Indians","0.84","16.2%","1.53","2.03","1.94","0.87","654","36.3%","2.07","","","17.3%","0.57","","","","","","","13.0%","1.54","","","26.0%","5.01","","","7.3%","2.55","","","","","10","64.2","19427"
"Ross Detwiler","White Sox","0.52","6.7%","1.56","2.67","3.61","0.92","164","28.7%","1.53","","","","","","","","","25.6%","1.07","31.0%","2.91","4.3%","3.25","","","","","10.5%","-0.90","","","","","0","","2859"
"Bryan Garcia","Tigers","0.00","0.0%","1.56","3.59","5.96","1.10","160","3.1%","5.22","","","","","","","","","60.3%","2.02","23.4%","4.08","","","","","","","13.2%","4.71","","","","","0","","19457"
"Tony Gonsolin","Dodgers","0.63","6.3%","1.57","2.88","4.15","0.84","297","44.8%","1.70","","","","","35.7%","2.64","","","","","13.9%","4.43","5.6%","1.72","","","","","","","","","","","5","23.2","19388"
"Eric Yardley","Brewers","1.06","28.6%","1.59","4.66","3.94","1.41","193","1.0%","-1.28","","","0.3%","-2.47","","","","","62.3%","0.26","0.3%","6.34","35.1%","3.55","","","","","1.0%","6.05","","","","","0","","15538"
"Jacob deGrom","Mets","0.67","10.0%","1.67","1.95","2.43","0.87","589","44.3%","1.70","","","","","","","","","","","36.6%","2.18","3.0%","2.64","","","","","16.2%","4.02","","","","","9","54.0","10954"
"James Hoyt","Marlins","0.84","9.1%","1.69","3.38","4.17","1.13","117","18.9%","2.26","","","","","","","","","18.3%","2.28","60.7%","1.12","","","","","","","2.1%","-0.07","","","","","0","","14605"
"Trevor Bauer","Reds","1.05","11.8%","1.74","2.88","3.30","0.79","533","43.5%","1.72","","","22.9%","0.75","","","","","8.0%","2.29","11.5%","5.44","","","13.8%","3.76","","","0.4%","-41.51","","","","","8","51.2","12703"
"Yu Darvish","Cubs","0.64","10.8%","1.77","2.24","2.61","0.88","579","13.6%","5.10","","","45.0%","1.67","4.1%","8.09","","","9.8%","3.14","15.4%","3.74","4.4%","-3.27","7.6%","3.05","","","","","","","","","9","56.0","13074"
"Rafael Dolis","Blue Jays","0.44","5.9%","1.77","3.24","4.23","1.18","200","0.9%","9.27","","","","","18.8%","5.68","","","60.3%","0.62","20.0%","6.71","","","","","","","","","","","","","0","","4185"
"Sixto Sanchez","Marlins","1.08","15.8%","1.80","3.11","3.04","0.92","225","26.1%","1.80","","","","","","","","","20.9%","0.88","17.5%","-3.57","9.5%","3.84","","","","","26.1%","6.59","","","","","4","25.0","19680"
"Miguel Yajure","Yankees","1.80","16.7%","1.80","6.59","6.34","1.00","49","33.3%","1.35","","","11.9%","4.09","","","","","","","","","23.8%","-1.82","","","","","31.0%","3.76","","","","","0","","21111"
"Sam Selman","Giants","0.60","6.3%","1.80","2.86","4.08","0.87","165","40.3%","0.16","","","","","","","","","0.8%","0.92","58.9%","3.42","","","","","","","","","","","","","0","","13397"
"Sam Freeman","Nationals","0.00","0.0%","1.80","4.99","6.94","1.80","58","27.8%","1.88","","","","","8.3%","-3.75","","","43.5%","2.81","","","20.4%","8.38","","","","","","","","","","","0","","6832"
"Geoff Hartlieb","Pirates","0.47","9.1%","1.86","3.97","4.41","1.24","183","2.9%","-2.80","","","","","","","","","48.7%","3.32","47.4%","2.15","","","","","","","1.0%","5.24","","","","","0","","19558"
"Edwin Diaz","Mets","0.95","18.2%","1.89","2.35","2.11","1.32","225","51.0%","1.59","","","","","","","","","9.7%","4.13","39.1%","3.06","","","","","","","0.3%","5.92","","","","","0","","14710"
"Josh Staumont","Royals","0.95","10.0%","1.89","3.87","4.56","1.37","225","65.2%","1.18","","","","","","","","","6.5%","9.12","","","28.4%","1.20","","","","","","","","","","","0","","18335"
"Carl Edwards Jr.","Mariners","0.00","0.0%","1.93","1.26","2.94","0.64","35","66.1%","1.09","","","","","","","","","","","","","33.9%","7.80","","","","","","","","","","","0","","13607"
"Nick Wittgren","Indians","0.96","10.5%","1.93","3.89","4.48","0.80","176","62.0%","3.69","","","","","","","","","0.4%","7.15","11.0%","-7.37","","","","","","","26.6%","3.46","","","","","0","","15594"
"Brad Boxberger","Marlins","1.29","13.3%","1.93","4.33","4.57","1.36","167","54.7%","1.25","","","","","","","","","","","17.0%","-0.03","0.4%","","","","","","27.9%","-1.38","","","","","0","","10133"
"John Gant","Cardinals","0.00","0.0%","1.93","2.12","2.96","1.00","145","14.3%","3.14","","","12.0%","0.03","","","","","36.9%","2.41","","","12.4%","1.85","","","","","24.4%","5.14","","","","","0","","13684"
"Amir Garrett","Reds","1.29","25.0%","1.93","2.69","1.95","0.57","129","40.1%","4.48","","","","","","","","","2.4%","1.00","57.5%","2.97","","","","","","","","","","","","","0","","14375"
"Kenley Jansen","Dodgers","0.98","8.7%","1.96","3.68","4.72","0.98","216","26.0%","3.04","","","65.0%","1.20","","","","","","","9.0%","8.74","","","","","","","","","","","","","0","","3096"
"Tyler Clippard","Twins","0.49","5.3%","1.96","2.32","3.63","0.93","182","18.8%","0.71","","","","","23.1%","4.28","","","18.1%","-1.44","","","6.7%","1.23","","","","","33.3%","1.57","","","","","2","3.0","5640"
"Clayton Kershaw","Dodgers","1.10","18.5%","1.98","3.29","2.99","0.78","424","42.6%","0.25","","","","","","","","","","","37.4%","3.05","19.7%","6.50","","","","","0.3%","5.48","","","","","7","41.0","2036"
"Max Fried","Braves","0.00","0.0%","1.98","2.51","3.80","1.06","501","44.0%","2.05","","","","","","","","","6.7%","-2.41","21.8%","1.16","22.7%","2.94","","","","","4.8%","3.85","","","","","9","50.0","13743"
"Corbin Burnes","Brewers","0.20","2.9%","1.99","2.04","3.22","0.90","442","3.2%","4.44","","","26.0%","1.49","","","","","36.7%","0.96","12.9%","7.52","9.2%","5.33","","","","","12.1%","3.25","","","","","6","32.2","19361"
"Brandon Leibrandt","Marlins","0.00","0.0%","2.00","4.86","7.46","1.11","92","47.3%","5.88","","","","","","","","","","","28.7%","0.39","12.0%","3.76","","","","","12.0%","4.46","","","","","0","","16135"
"Cam Bedrosian","Angels","0.00","0.0%","2.00","2.97","6.23","1.00","96","55.7%","3.05","","","","","0.6%","5.48","","","","","43.7%","2.75","","","","","","","","","","","","","0","","13360"
"Seth Lugo","Mets","1.23","27.3%","2.05","2.96","2.17","1.00","218","28.7%","2.19","","","","","","","","","24.9%","2.95","18.0%","-3.14","20.4%","3.90","","","","","8.1%","3.37","","","","","3","11.2","12447"
"Roberto Osuna","Astros","0.00","0.0%","2.08","1.80","2.26","0.69","37","37.0%","1.81","","","16.7%","-0.82","","","","","9.3%","10.00","18.5%","9.95","","","","","","","18.5%","12.97","","","","","0","","13764"
"Brett Martin","Rangers","1.04","6.7%","2.08","6.07","7.96","1.38","87","34.9%","3.72","","","","","","","","","19.5%","4.78","32.9%","2.70","12.8%","0.68","","","","","","","","","","","0","","17369"
"Lucas Sims","Reds","1.06","11.1%","2.12","3.42","3.97","0.88","184","47.1%","3.43","","","0.3%","5.48","0.3%","6.34","","","0.7%","-1.82","13.9%","3.07","35.5%","2.27","","","","","2.3%","5.87","","","","","0","","13470"
"Blake Taylor","Astros","0.53","6.3%","2.12","4.13","5.21","1.24","166","77.5%","4.01","","","","","","","","","","","22.1%","-1.93","","","","","","","0.4%","30.71","","","","","0","","16418"
"Blake Parker","Phillies","1.42","20.0%","2.13","3.43","2.92","1.11","145","40.2%","-1.62","","","","","43.6%","1.14","","","","","","","16.2%","4.87","","","","","","","","","","","1","2.0","5224"
"Josh Hader","Brewers","0.00","0.0%","2.13","2.87","4.73","0.95","150","69.2%","2.02","","","","","","","","","","","30.8%","5.51","","","","","","","","","","","","","0","","14212"
