"Name","Team","HR/9","HR/FB","ERA","FIP","xFIP","WHIP","Strikes","FA% (pfx)","wFA/C (pfx)","FT% (pfx)","wFT/C (pfx)","FC% (pfx)","wFC/C (pfx)","FS% (pfx)","wFS/C (pfx)","FO% (pfx)","wFO/C (pfx)","SI% (pfx)","wSI/C (pfx)","SL% (pfx)","wSL/C (pfx)","CU% (pfx)","wCU/C (pfx)","KC% (pfx)","wKC/C (pfx)","EP% (pfx)","wEP/C (pfx)","CH% (pfx)","wCH/C (pfx)","SC% (pfx)","wSC/C (pfx)","KN% (pfx)","wKN/C (pfx)","GS","Start-IP","playerid"
"Cody Ponce","Pirates","2.77","20.0%","3.46","6.73","5.74","1.15","132","33.2%","1.81","","","25.7%","-1.64","","","","","8.9%","4.24","","","23.3%","4.33","","","","","8.9%","-7.51","","","","","2","9.2","17920"
"Taylor Clarke","Diamondbacks","1.62","18.8%","3.51","5.14","4.68","1.20","335","44.5%","2.57","","","","","","","","","","","27.6%","1.60","11.8%","-3.53","","","","","16.2%","6.22","","","","","4","18.0","17611"
"Scott Barlow","Royals","1.17","16.7%","3.52","3.45","3.28","1.17","249","38.7%","-1.05","","","","","","","","","0.3%","5.48","39.4%","2.86","21.7%","3.05","","","","","","","","","","","0","","14993"
"Mitch Keller","Pirates","2.35","16.7%","3.52","7.36","7.03","1.43","79","58.8%","0.38","","","","","","","","","","","18.4%","3.10","17.7%","-1.78","","","","","4.4%","4.28","","","","","2","7.2","17594"
"Phil Maton","Indians","0.59","7.1%","3.52","2.60","3.54","1.17","167","45.0%","1.33","","","33.7%","1.76","","","","","1.6%","-1.81","","","19.7%","0.32","","","","","","","","","","","0","","18064"
"Rowan Wick","Cubs","0.59","5.9%","3.52","2.67","3.99","1.43","183","54.0%","0.02","","","11.0%","4.18","","","","","","","","","","","35.0%","0.03","","","","","","","","","0","","14646"
"Chris Stratton","Pirates","0.79","11.8%","3.57","3.06","3.38","1.24","256","44.4%","2.67","","","","","","","","","","","29.3%","-0.43","15.9%","3.74","","","","","10.5%","0.53","","","","","0","","13761"
"Homer Bailey","Twins","1.80","20.0%","3.60","5.39","4.74","1.20","46","46.3%","1.29","","","","","22.5%","4.25","","","","","21.3%","8.35","","","10.0%","3.92","","","","","","","","","1","5.0","8362"
"Kyle Freeland","Rockies","1.08","17.1%","3.60","4.35","4.16","1.36","494","22.9%","0.70","","","","","","","","","8.9%","0.48","24.4%","1.75","18.1%","1.13","","","","","25.7%","1.63","","","","","9","50.0","16256"
"Hunter Harvey","Orioles","1.80","14.3%","3.60","5.79","5.93","1.40","55","78.3%","-0.06","","","","","","","","","","","","","15.7%","-0.11","","","","","6.0%","-5.56","","","","","0","","15507"
"Framber Valdez","Astros","0.52","11.5%","3.61","3.06","3.28","1.20","498","1.8%","5.90","","","","","","","","","55.1%","-0.22","","","31.6%","5.16","","","","","11.5%","2.13","","","","","7","46.0","17295"
"Randy Dobnak","Twins","0.64","10.7%","3.61","4.02","4.39","1.28","411","4.8%","1.75","","","","","","","","","44.4%","0.67","34.1%","3.88","","","","","","","16.7%","1.23","","","","","9","42.1","23798"
"Daniel Mengden","Athletics","1.46","11.1%","3.65","5.62","6.37","1.70","150","50.2%","-0.82","","","26.8%","0.50","","","","","1.3%","0.62","","","9.1%","-2.33","","","","","12.6%","2.44","","","","","1","4.0","16980"
"Adbert Alzolay","Cubs","0.00","0.0%","3.65","3.35","4.46","1.38","146","28.9%","1.64","","","","","","","","","22.3%","-2.87","","","37.2%","4.52","","","","","11.6%","6.87","","","","","3","11.1","17859"
"Jace Fry","White Sox","0.73","14.3%","3.65","3.27","3.33","1.46","123","11.2%","1.61","","","40.8%","1.43","","","","","25.2%","4.08","","","18.9%","-1.18","","","","","3.9%","4.51","","","","","0","","16159"
"Jeurys Familia","Mets","0.46","6.7%","3.66","4.51","5.34","1.42","208","11.8%","6.02","","","","","10.3%","-0.08","","","46.6%","-0.38","31.0%","2.52","0.3%","-76.21","","","","","","","","","","","0","","5114"
"Andrew Miller","Cardinals","0.00","0.0%","3.68","2.78","4.91","1.36","71","31.3%","0.85","","","","","","","","","13.9%","-0.63","54.8%","2.09","","","","","","","","","","","","","0","","6785"
"Antonio Senzatela","Rockies","1.34","14.8%","3.69","4.68","4.71","1.21","523","52.7%","0.57","","","","","","","","","","","26.3%","2.65","9.7%","2.67","","","","","11.3%","0.62","","","","","9","53.2","15488"
"Jose Urquidy","Astros","0.93","7.1%","3.72","5.78","7.26","1.24","97","60.3%","3.00","","","","","","","","","","","11.9%","-1.30","6.6%","10.33","","","","","21.2%","4.50","","","","","2","9.2","18413"
"Tyler Matzek","Braves","0.42","5.6%","3.74","1.99","3.01","1.25","250","64.1%","1.56","","","","","","","","","","","27.9%","2.70","8.0%","-0.04","","","","","","","","","","","0","","10058"
"Ryan Thompson","Rays","1.25","21.4%","3.74","4.30","3.76","1.34","221","7.7%","8.66","","","","","","","","","53.4%","0.26","38.0%","1.23","","","","","","","0.9%","4.22","","","","","1","2.0","16647"
"Mike Clevinger","- - -","1.60","17.1%","3.74","4.82","4.54","1.34","335","39.8%","-0.93","","","6.9%","-4.02","","","","","","","30.1%","3.91","13.2%","1.22","","","","","10.0%","1.77","","","","","6","33.2","12808"
"Anthony Misiewicz","Mariners","1.08","11.8%","3.78","3.01","3.44","1.14","167","25.1%","2.28","","","52.0%","1.41","","","","","","","","","22.9%","-1.70","","","","","","","","","","","0","","18152"
"Daniel Bard","Rockies","0.95","14.3%","3.79","3.03","3.10","1.21","214","41.2%","1.79","","","","","","","","","13.5%","-1.32","33.3%","1.40","","","","","","","12.0%","3.98","","","","","0","","7115"
"Felix Pena","Angels","0.84","11.8%","3.80","2.91","3.25","1.22","218","7.3%","-3.45","","","","","","","","","39.4%","1.20","32.1%","4.70","","","","","","","21.1%","2.50","","","","","0","","13403"
"Jose Cisnero","Tigers","0.38","4.0%","3.80","2.68","4.20","1.18","253","58.4%","-0.58","","","","","","","","","5.9%","0.06","27.4%","5.80","","","","","","","8.3%","7.92","","","","","0","","6399"
"Rich Hill","Twins","0.86","11.8%","3.86","4.57","4.92","1.38","218","46.6%","0.58","","","5.0%","-1.45","","","","","1.2%","7.25","3.2%","0.81","40.2%","2.73","","","","","0.3%","7.07","","","","","5","21.0","4806"
"Tyler Thornburg","Reds","0.00","0.0%","3.86","2.48","5.27","1.57","85","57.2%","2.76","","","","","","","","","","","","","22.1%","0.66","","","","","20.7%","3.81","","","","","0","","10688"
"Julio Urias","Dodgers","1.21","11.9%","3.86","4.02","4.48","1.31","406","54.6%","0.47","","","","","","","","","4.4%","-0.06","7.8%","1.98","18.0%","2.65","","","","","15.3%","1.16","","","","","8","37.1","14765"
"Walker Buehler","Dodgers","1.93","18.9%","3.86","4.78","4.21","1.01","340","53.3%","1.93","","","16.3%","2.65","","","","","9.2%","-1.29","7.3%","1.22","","","14.0%","-1.91","","","","","","","","","7","32.2","19374"
"Ryan Brasier","Red Sox","0.96","10.0%","3.86","3.83","4.53","1.45","206","56.7%","0.83","","","","","","","","","5.3%","0.18","31.8%","3.25","","","","","","","6.2%","-1.24","","","","","1","1.0","5615"
"Nick Burdi","Pirates","0.00","0.0%","3.86","2.33","4.85","1.71","27","54.4%","4.15","","","","","","","","","","","43.5%","5.50","2.2%","-6.18","","","","","","","","","","","0","","16074"
"Pedro Strop","Reds","0.00","0.0%","3.86","8.33","10.85","3.00","33","22.2%","-1.68","","","19.1%","2.61","7.9%","-4.79","","","25.4%","3.31","25.4%","1.91","","","","","","","","","","","","","0","","4070"
"Tim Hill","Padres","1.54","18.2%","3.86","4.30","3.92","1.03","143","43.8%","0.90","","","","","","","","","45.7%","0.17","10.5%","2.84","","","","","","","","","","","","","0","","16814"
"Aaron Civale","Indians","1.09","13.7%","3.88","3.40","3.55","1.16","599","2.7%","8.56","","","29.3%","0.45","","","","","29.9%","0.72","8.9%","-1.58","19.7%","0.47","","","","","9.4%","3.06","","","","","9","58.0","19479"
"Tyler Mahle","Reds","1.46","13.0%","3.89","4.16","4.49","1.00","391","53.2%","1.77","","","","","13.1%","1.96","","","","","32.6%","1.62","1.1%","1.62","","","","","","","","","","","6","33.2","16358"
"Kyle Finnegan","Nationals","0.98","13.3%","3.93","4.34","4.52","1.36","194","0.3%","-80.72","","","","","8.1%","5.90","","","69.7%","1.12","21.6%","4.29","0.3%","-3.63","","","","","","","","","","","0","","15009"
"Jake Woodford","Cardinals","2.81","29.4%","3.94","6.31","4.33","1.00","159","43.2%","0.46","","","","","","","","","6.5%","5.73","24.6%","0.03","24.2%","1.50","","","","","1.6%","5.33","","","","","1","3.0","18674"
"Jared Hughes","Mets","0.56","9.1%","3.94","5.25","5.78","1.50","172","9.6%","-1.81","","","","","","","","","49.8%","0.65","","","27.9%","3.83","","","","","12.6%","4.98","","","","","0","","9325"
"Noe Ramirez","Angels","1.13","10.5%","3.94","5.19","5.89","1.38","169","34.9%","2.80","","","","","","","","","","","","","30.2%","0.37","","","","","34.9%","0.31","","","","","0","","12800"
"Sonny Gray","Reds","0.59","11.5%","3.94","2.93","3.19","1.29","490","28.0%","-0.26","","","","","","","","","24.2%","4.72","17.2%","1.09","26.7%","1.46","","","","","3.9%","2.16","","","","","9","45.2","12768"
"Mike Soroka","Braves","0.00","0.0%","3.95","3.77","4.63","1.32","124","28.1%","-0.74","","","","","","","","","31.2%","4.98","28.6%","3.33","","","","","","","12.1%","4.83","","","","","3","13.2","18383"
"Cameron Hill","Indians","1.32","11.8%","3.95","4.58","5.11","0.66","142","45.7%","1.09","","","","","","","","","","","36.1%","4.52","18.3%","0.24","","","","","","","","","","","0","","16840"
"Tom Eshelman","Orioles","1.80","14.7%","3.96","5.99","6.05","1.08","234","23.2%","2.92","","","","","","","","","23.0%","2.97","21.9%","3.13","19.7%","1.88","","","","","11.9%","-3.10","","","","","3","11.1","18361"
"Sandy Alcantara","Marlins","1.59","20.0%","3.97","4.95","4.39","1.24","236","18.0%","4.79","","","","","","","","","42.5%","2.38","24.7%","-1.51","3.8%","-0.96","","","","","11.0%","-4.01","","","","","4","22.2","18684"
"Jesus Luzardo","Athletics","1.19","17.7%","3.97","3.98","3.73","1.26","445","12.8%","-1.26","","","","","","","","","39.4%","0.63","","","24.2%","3.90","","","","","23.7%","0.17","","","","","7","38.2","19959"
"Pedro Baez","Dodgers","1.59","11.8%","3.97","5.40","6.03","1.06","126","43.0%","2.29","","","","","","","","","","","22.2%","2.07","","","","","","","34.8%","1.06","","","","","0","","5420"
"David Hale","- - -","0.79","12.5%","3.97","3.81","4.04","1.76","134","34.4%","1.46","","","","","","","","","17.7%","-3.09","","","13.5%","-0.77","","","","","34.4%","0.46","","","","","0","","9756"
"Giovanny Gallegos","Cardinals","0.79","10.0%","3.97","2.66","3.24","0.79","122","48.5%","1.40","","","","","","","","","1.2%","0.48","49.7%","4.31","","","","","","","0.6%","7.15","","","","","0","","14986"
"Shun Yamaguchi","Blue Jays","1.33","12.5%","3.98","4.37","4.76","1.33","216","38.9%","0.05","","","","","41.7%","2.52","","","","","16.3%","-1.15","2.9%","3.15","","","","","","","","","","","0","","27460"
"Nik Turley","Pirates","0.00","0.0%","4.02","3.51","5.51","1.21","167","58.3%","2.69","","","","","","","","","","","","","41.7%","1.58","","","","","","","","","","","0","","5530"
"Javy Guerra","Nationals","1.15","8.3%","4.02","4.53","5.87","1.66","186","67.0%","2.66","","","","","","","","","","","16.8%","0.23","8.4%","-2.04","","","","","7.7%","-2.59","","","","","0","","7407"
"Andrew Heaney","Angels","0.55","5.9%","4.04","2.94","4.18","1.16","519","60.7%","0.32","","","","","","","","","","","","","21.7%","3.67","","","","","17.7%","2.78","","","","","9","49.0","15423"
"Kevin Gausman","Giants","1.54","19.1%","4.05","3.53","3.06","1.14","516","49.7%","-1.32","","","","","42.5%","4.69","","","1.2%","5.97","6.7%","-4.89","","","","","","","","","","","","","8","42.2","14107"
"Trevor Cahill","Giants","1.35","14.3%","4.05","4.64","4.74","1.25","222","11.5%","4.33","","","14.6%","-2.42","","","","","28.3%","0.80","","","","","16.5%","4.91","","","29.1%","0.79","","","","","6","20.0","6249"
"Brent Suter","Brewers","1.35","21.4%","4.05","3.19","2.61","1.20","214","75.0%","0.64","","","","","","","","","7.2%","-1.65","","","7.8%","-2.47","","","","","9.9%","3.20","","","","","1","3.0","13942"
"Justin Dunn","Mariners","1.91","15.2%","4.09","6.34","6.31","1.27","328","48.8%","2.50","","","","","","","","","3.1%","2.57","15.5%","5.84","23.8%","-3.25","","","","","8.8%","-0.23","","","","","7","33.0","19268"
"Evan Phillips","Orioles","0.00","0.0%","4.09","4.01","5.61","1.73","130","66.8%","1.46","","","","","","","","","","","27.3%","2.84","","","","","","","5.9%","-3.01","","","","","0","","17734"
"Taylor Rogers","Twins","1.17","14.3%","4.11","2.60","2.69","1.43","185","1.5%","10.06","","","","","","","","","53.2%","-2.14","","","45.3%","1.49","","","","","","","","","","","0","","13449"
"Ryan Pressly","Astros","0.59","8.3%","4.11","2.67","3.35","1.43","178","38.4%","0.21","","","","","","","","","","","43.8%","2.33","17.8%","6.47","","","","","","","","","","","0","","7005"
"Raisel Iglesias","Reds","0.59","7.7%","4.11","2.54","3.35","1.17","181","41.0%","-0.12","","","","","","","","","5.4%","5.47","29.5%","0.61","","","","","","","24.1%","2.16","","","","","0","","17130"
"Josh Fleming","Rays","2.29","29.4%","4.12","5.48","3.86","1.22","180","0.7%","5.73","","","","","","","","","53.7%","2.97","31.3%","-3.64","","","","","","","14.3%","3.43","","","","","4","19.2","20418"
"Josh A. Smith","Marlins","0.92","8.7%","4.12","4.92","5.88","1.58","203","18.2%","2.33","","","","","","","","","16.0%","1.68","34.5%","-1.13","28.8%","1.04","","","","","2.5%","-11.82","","","","","1","2.0","10946"
"Wander Suero","Nationals","0.47","4.8%","4.19","2.98","4.43","1.24","199","0.3%","-36.29","","","81.3%","0.94","","","","","","","","","5.4%","13.73","","","","","12.9%","2.02","","","","","0","","15855"
"Adam Cimber","Indians","0.84","6.7%","4.22","3.75","5.28","1.31","119","30.5%","2.90","","","","","","","","","21.0%","-6.55","48.5%","-0.36","","","","","","","","","","","","","0","","15288"
"Brandon Workman","- - -","0.53","8.3%","4.24","3.84","4.45","2.12","190","21.2%","4.72","","","35.4%","-0.18","","","","","","","","","","","43.4%","-0.66","","","","","","","","","0","","11428"
"Luke Jackson","Braves","0.00","0.0%","4.24","3.48","4.75","1.94","194","36.3%","1.91","","","","","","","","","","","47.5%","0.82","16.2%","-1.42","","","","","","","","","","","0","","11752"
"Danny Duffy","Royals","1.54","12.9%","4.24","4.75","5.12","1.22","496","38.9%","0.34","","","","","","","","","14.7%","-3.15","17.5%","4.42","14.5%","1.92","","","","","14.4%","2.48","","","","","9","46.2","3542"
"Tyler Alexander","Tigers","2.12","24.1%","4.25","5.28","4.12","1.28","311","20.1%","1.30","","","16.4%","-2.04","","","","","23.4%","0.25","12.7%","1.31","10.9%","-1.93","","","","","16.4%","3.98","","","","","2","7.2","17735"
"David Peterson","Mets","0.85","9.1%","4.26","4.71","5.51","1.36","300","36.2%","0.71","","","","","","","","","18.8%","2.52","23.2%","4.25","1.9%","3.32","","","","","19.9%","1.52","","","","","6","27.2","20302"
"Chad Green","Yankees","1.89","19.1%","4.26","4.40","3.82","0.89","213","72.8%","3.08","","","","","","","","","1.6%","3.00","","","25.6%","1.06","","","","","","","","","","","0","","15552"
"J.A. Happ","Yankees","1.72","18.2%","4.31","5.33","4.90","1.21","314","42.3%","1.22","","","","","","","","","23.7%","3.49","19.0%","2.71","1.8%","-8.66","","","","","13.2%","-0.78","","","","","6","31.1","7410"
"Ryan Yarbrough","Rays","1.13","15.2%","4.31","4.68","4.66","1.29","415","","","","","38.6%","-0.64","","","","","22.9%","0.77","","","7.2%","1.74","","","","","31.4%","3.71","","","","","8","39.2","16502"
"Wes Benjamin","Rangers","1.08","8.3%","4.32","3.67","4.93","1.08","100","33.1%","3.27","","","","","","","","","10.4%","6.78","26.6%","-1.45","14.9%","3.20","","","","","14.9%","-1.86","","","","","0","","19243"
"Luis Avilan","Yankees","2.16","22.2%","4.32","5.95","4.94","1.68","98","4.9%","3.76","","","","","","","","","31.5%","2.21","","","5.6%","-15.89","","","","","58.0%","0.12","","","","","0","","2882"
"Patrick Corbin","Nationals","1.38","17.1%","4.34","4.33","4.09","1.47","478","23.3%","-1.77","","","","","","","","","30.4%","-0.42","39.9%","2.34","2.4%","-7.36","","","","","4.0%","3.29","","","","","8","45.2","9323"
"Justus Sheffield","Mariners","0.48","6.3%","4.34","3.14","4.12","1.31","378","0.5%","15.27","","","","","","","","","44.0%","-0.64","37.3%","2.95","","","","","","","18.2%","3.04","","","","","7","37.1","17285"
"Tyler Glasnow","Rays","1.37","20.7%","4.35","3.19","2.65","1.22","428","58.9%","0.26","","","","","","","","","","","","","35.6%","4.14","","","","","5.5%","0.37","","","","","8","39.1","14374"
"German Marquez","Rockies","0.87","11.5%","4.35","3.53","3.91","1.31","615","41.0%","-0.42","","","","","","","","","9.8%","2.20","18.9%","1.29","","","24.5%","6.62","","","5.8%","-4.09","","","","","10","62.0","15038"
"Freddy Peralta","Brewers","0.44","6.7%","4.35","2.03","2.82","1.21","239","66.6%","1.99","","","","","","","","","","","4.8%","4.89","18.2%","-0.98","","","","","","","","","","","1","3.0","18679"
"Will Harris","Nationals","2.19","27.3%","4.38","6.27","4.85","2.11","156","0.4%","-2.47","","","77.2%","-0.45","","","","","","","","","22.4%","-0.47","","","","","","","","","","","0","","3192"
"Jake Newberry","Royals","1.26","12.5%","4.40","5.63","6.00","1.67","158","47.0%","-0.37","","","","","","","","","","","50.0%","2.05","","","","","","","3.0%","3.98","","","","","0","","15136"
"Martin Perez","Red Sox","1.15","11.8%","4.40","5.19","5.65","1.32","454","14.0%","0.68","","","35.3%","3.02","","","","","13.8%","2.66","","","9.7%","0.16","","","","","27.2%","1.48","","","","","9","47.0","6902"
"Jose Berrios","Twins","1.15","14.0%","4.40","4.04","4.17","1.36","530","27.3%","-1.74","","","","","","","","","24.0%","0.82","","","29.5%","3.82","","","","","19.2%","1.83","","","","","9","47.0","14168"
"Taylor Widener","Diamondbacks","1.96","18.2%","4.42","5.97","5.48","1.20","200","63.3%","1.30","","","","","","","","","1.2%","-0.67","21.3%","1.44","","","","","","","14.2%","0.01","","","","","0","","19266"
"Alex Young","Diamondbacks","2.33","21.3%","4.42","5.91","4.92","1.27","417","20.3%","-0.95","","","22.2%","-1.63","0.2%","5.48","","","12.9%","-2.98","","","23.6%","2.46","","","","","20.9%","1.97","","","","","5","23.2","18333"
"Sean Manaea","Athletics","0.85","11.1%","4.46","3.31","3.74","1.18","418","53.5%","0.26","","","","","","","","","","","4.6%","6.22","14.7%","-2.38","","","","","27.2%","3.79","","","","","9","42.1","15873"
"Joel Payamps","Diamondbacks","0.00","0.0%","4.50","4.19","5.17","1.50","20","41.5%","3.39","","","","","","","","","19.5%","9.28","31.7%","3.82","","","","","","","7.3%","2.05","","","","","0","","14332"
"Jose Leclerc","Rangers","0.00","0.0%","4.50","3.19","5.14","2.00","21","57.5%","-1.26","","","","","","","","","","","31.9%","2.80","","","","","","","10.6%","-0.53","","","","","0","","14524"
"Keone Kela","Pirates","4.50","33.3%","4.50","8.19","4.62","2.00","34","48.2%","-5.65","","","","","","","","","","","","","51.9%","2.21","","","","","","","","","","","0","","14696"
"Pablo Lopez","Marlins","0.68","11.1%","4.50","3.14","3.48","1.38","410","27.2%","-0.14","","","10.1%","0.26","","","","","27.1%","2.06","","","5.9%","-0.91","","","","","29.7%","0.33","","","","","8","40.0","17085"
"James Kaprielian","Athletics","4.50","20.0%","4.50","10.19","8.58","1.00","23","65.7%","-4.01","","","","","","","","","8.6%","10.60","22.9%","9.42","2.9%","0.00","","","","","","","","","","","0","","18331"
"Yoshihisa Hirano","Mariners","1.50","14.3%","4.50","5.36","5.47","1.83","74","44.8%","-0.80","","","","","54.3%","2.44","","","","","0.9%","-3.77","","","","","","","","","","","","","0","","19756"
"Kris Bubic","Royals","1.35","15.0%","4.50","4.56","4.57","1.45","452","51.5%","-0.21","","","","","","","","","1.9%","0.84","","","14.7%","4.93","","","","","31.9%","1.83","","","","","8","40.0","21455"
"John King","Rangers","0.00","0.0%","4.50","3.69","5.64","1.25","39","","","","","","","","","","","62.9%","3.25","4.8%","-0.89","","","","","","","32.3%","-3.08","","","","","0","","22051"
"Tyler Anderson","Giants","0.98","7.6%","4.50","4.54","5.93","1.35","457","40.0%","0.26","","","19.8%","0.96","","","","","4.7%","-1.72","","","2.1%","-3.56","","","","","33.3%","2.61","","","","","8","40.1","12880"
"Buck Farmer","Tigers","1.13","11.8%","4.50","4.44","4.89","1.19","168","53.4%","1.02","","","","","","","","","","","13.6%","1.44","","","","","","","33.0%","0.06","","","","","0","","14814"
"Garrett Richards","Padres","1.29","15.4%","4.50","4.31","4.27","1.33","419","46.8%","0.92","","","","","","","","","9.5%","-4.14","36.3%","2.47","7.5%","-1.51","","","","","","","","","","","9","42.0","9784"
"Cody Reed","- - -","1.50","25.0%","4.50","5.61","4.74","1.58","132","8.9%","3.19","","","","","","","","","39.0%","-0.60","49.6%","0.66","","","","","","","2.5%","1.17","","","","","0","","15232"
"Keury Mella","Diamondbacks","2.25","25.0%","4.50","4.19","2.89","1.75","47","15.4%","-7.30","","","","","","","","","46.2%","-5.70","38.5%","10.60","","","","","","","","","","","","","0","","15964"
"Ian Hamilton","White Sox","0.00","0.0%","4.50","4.94","6.41","2.25","47","74.7%","2.56","","","","","","","","","","","21.7%","4.07","","","","","","","3.6%","-14.85","","","","","0","","19261"
"Kevin McCarthy","Royals","1.50","16.7%","4.50","6.19","5.98","2.00","62","4.0%","-22.55","","","","","15.0%","7.33","","","50.0%","-1.80","3.0%","2.59","5.0%","-0.80","","","","","23.0%","5.14","","","","","0","","15240"
"Ryan Buchter","Angels","3.00","25.0%","4.50","7.86","6.13","1.83","69","61.4%","0.65","","","7.0%","-4.69","","","","","","","","","31.6%","3.40","","","","","","","","","","","0","","9456"
"Johnny Cueto","Giants","1.33","13.7%","4.56","4.50","4.68","1.27","519","33.0%","-1.25","","","","","","","","","8.5%","-0.58","6.6%","2.47","23.8%","1.34","","","","","27.5%","5.00","","","","","9","47.1","6893"
"Griffin Canning","Angels","1.59","14.0%","4.57","4.89","5.05","1.37","458","41.6%","-0.36","","","","","","","","","","","22.1%","-0.80","20.9%","2.29","","","","","15.5%","2.31","","","","","9","45.1","19867"
"Miguel Castro","- - -","1.83","23.5%","4.58","4.56","3.61","1.58","225","","","","","","","","","","","48.8%","-2.17","33.4%","1.96","","","","","","","17.8%","4.49","","","","","0","","15684"
"Zach Eflin","Phillies","1.69","19.4%","4.58","3.78","3.23","1.34","403","6.5%","1.84","","","","","","","","","55.8%","0.21","20.5%","-1.42","10.0%","3.95","","","","","7.2%","-0.77","","","","","7","37.1","13774"
"Ryan Tepera","Cubs","1.02","20.0%","4.58","3.30","2.94","1.42","182","12.5%","2.53","","","44.6%","0.63","","","","","32.7%","0.21","6.1%","-0.70","","","","","","","4.2%","4.96","","","","","0","","10291"
"Keegan Akin","Orioles","0.66","6.7%","4.61","3.77","4.97","1.39","166","59.2%","0.80","","","","","","","","","","","23.7%","2.10","","","","","","","17.2%","0.46","","","","","3","10.1","19362"
"Alex Claudio","Brewers","0.66","6.7%","4.61","3.92","5.12","1.24","149","4.7%","-2.82","","","","","","","","","34.1%","0.20","19.4%","1.51","","","","","","","41.8%","2.32","","","","","0","","12890"
"Brett Anderson","Brewers","1.36","17.2%","4.64","4.80","4.54","1.39","332","2.2%","5.65","","","12.5%","-0.44","","","","","40.0%","-0.31","10.1%","2.95","","","8.8%","-4.51","","","26.4%","1.08","","","","","7","33.0","8223"
"Brady Singer","Royals","1.49","19.1%","4.66","4.64","4.19","1.26","531","58.4%","0.70","","","","","","","","","","","35.3%","1.48","","","","","","","6.3%","3.46","","","","","9","48.1","25377"
"Johan Oviedo","Cardinals","0.47","5.0%","4.66","4.28","5.63","1.29","209","57.7%","1.51","","","","","","","","","","","27.4%","0.42","10.3%","1.71","","","","","4.6%","3.95","","","","","4","19.1","22487"
"Wandy Peralta","Giants","1.40","21.4%","4.66","4.90","4.30","1.45","218","21.9%","-3.41","","","","","","","","","12.8%","-1.71","33.9%","1.99","","","","","","","31.4%","1.69","","","","","0","","14295"
"Aaron Slegers","Rays","0.52","7.1%","4.67","3.54","4.36","0.87","167","23.6%","1.90","","","","","","","","","37.4%","2.42","31.9%","1.59","","","","","","","7.1%","1.44","","","","","1","4.0","15231"
"Josh Tomlin","Braves","1.10","10.3%","4.68","3.80","4.54","1.22","319","16.6%","-0.46","","","50.7%","1.90","","","","","2.1%","4.16","","","26.4%","0.75","","","","","4.2%","0.06","","","","","5","21.1","9388"
"Logan Allen","Indians","1.17","12.5%","4.70","6.84","7.19","1.96","73","47.8%","-0.07","","","","","","","","","","","21.6%","0.53","14.9%","2.73","","","","","15.7%","6.56","","","","","0","","18555"
"Sean Poppen","Twins","0.00","0.0%","4.70","2.15","3.68","1.70","91","","","","","","","","","","","48.4%","-3.01","45.1%","4.72","","","","","","","6.5%","-1.43","","","","","0","","19583"
"Steven Brault","Pirates","0.68","9.1%","4.73","4.61","5.25","1.58","315","39.3%","1.31","","","","","","","","","10.7%","0.27","24.7%","2.08","2.8%","-3.26","","","","","22.5%","0.79","","","","","8","26.2","15291"
"Gio Gonzalez","White Sox","1.35","18.2%","4.73","5.06","4.73","1.88","301","36.1%","-0.61","","","","","","","","","12.1%","-3.55","1.5%","-8.94","19.0%","2.38","","","","","31.3%","1.81","","","","","4","17.1","7448"
"Anthony Kay","Blue Jays","0.95","8.7%","4.74","4.45","5.45","1.58","206","56.9%","0.47","","","","","","","","","","","","","24.4%","1.51","","","","","18.6%","3.57","","","","","0","","20387"
"Alec Mills","Cubs","1.65","18.6%","4.74","5.20","4.75","1.21","429","24.2%","0.49","","","","","","","","","34.7%","-0.56","10.4%","3.03","13.7%","2.60","","","","","17.1%","3.77","","","","","8","43.2","13834"
"Chris Paddack","Padres","2.01","23.9%","4.74","4.65","3.57","1.22","518","58.9%","-1.27","","","2.2%","2.74","","","","","","","","","7.7%","0.37","","","","","31.3%","3.37","","","","","10","49.1","20099"
"Tyler Zuber","Royals","2.12","26.7%","4.76","6.84","5.50","1.59","167","42.7%","2.17","","","","","","","","","","","34.9%","1.38","12.1%","1.13","","","","","10.4%","2.13","","","","","0","","20379"
"Justin Wilson","Mets","0.60","7.1%","4.80","2.92","3.88","1.60","179","51.3%","2.06","","","42.3%","-1.41","","","","","3.8%","6.68","2.6%","5.70","","","","","","","","","","","","","0","","4301"
"Brady Lail","- - -","2.89","25.0%","4.82","7.05","5.38","1.29","107","29.6%","0.25","","","","","","","","","17.5%","0.18","18.0%","-6.40","18.0%","2.74","","","","","16.9%","2.17","","","","","0","","14707"
"Matt Shoemaker","Blue Jays","2.81","30.8%","4.91","6.11","4.04","1.01","257","18.9%","3.00","","","","","32.9%","2.54","","","24.7%","-4.55","17.9%","1.93","","","5.6%","1.39","","","","","","","","","5","25.2","4776"
"Alex Wood","Dodgers","1.23","14.3%","4.91","5.10","5.19","1.64","99","4.3%","7.88","","","","","","","","","38.0%","-0.69","","","","","30.1%","-0.24","","","27.6%","-1.07","","","","","1","3.0","13781"
"Charlie Morton","Rays","1.14","11.5%","4.94","3.95","4.45","1.35","268","37.6%","-0.51","","","6.8%","-1.85","1.3%","-9.17","","","19.4%","1.33","","","34.9%","2.46","","","","","","","","","","","6","23.2","4676"
