PLAYER,POS,REAL POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Brandon Drury,2B,2B/3B,TOR,@BOS,,2200,0.0,0.0,2.0,0.9,1.7,0.8,W 4 R-L
Tucupita Marcano,3B,3B/SS,SD,@LAA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Kyle Isbel,OF,OF,KC,CWS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Seuly Matias,OF,OF,KC,CWS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Nick Dini,C,C,KC,CWS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Jeison Guzman,SS,SS,KC,CWS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Billy McKinney,OF,OF,TOR,@BOS,,2400,0.0,0.0,4.0,1.7,4.0,1.7,W 4 R-L
Taylor Ward,OF,OF,LAA,SD,,2000,0.0,0.0,0.0,0.0,2.7,1.4,W 9 Out
Webster Rivas,C,C,SD,@LAA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Kevin Smith,SS,SS,TOR,@BOS,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Sebastian Rivero,C,C,KC,CWS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Jordan Groshans,3B,3B,TOR,@BOS,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Nicky Delmonico,OF,OF,CWS,@KC,,2400,0.0,0.0,3.4,1.4,2.7,1.1,W 8 L-R
Matt Thaiss,1B,1B/3B,LAA,SD,,2000,0.0,0.0,2.4,1.2,2.4,1.2,W 9 Out
Humberto Arteaga,2B,2B/SS,KC,CWS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Blake Rutherford,OF,OF,CWS,@KC,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Cesar Puello,OF,OF,BOS,TOR,,2400,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Nick Pratto,1B,1B,KC,CWS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
