PLAYER,POS,REAL POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Omar Estevez,2B,2B/SS,LAD,@ARI,,2600,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Diego Cartaya,C,C,LAD,@ARI,,2300,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Michael Busch,2B,2B,LAD,@ARI,,2500,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Jamie Ritchie,C,C,HOU,@OAK,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Nick Tanielu,2B,2B/3B,HOU,@OAK,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Jose Altuve,2B,2B,HOU,@OAK,,3700,0.0,0.0,4.8,1.3,6.6,1.8,W 9 Out
Alex De Goti,2B,2B/SS,HOU,@OAK,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Taylor Jones,1B,1B,HOU,@OAK,,2000,0.0,0.0,5.0,2.5,5.0,2.5,W 9 Out
Justin Turner,3B,3B,LAD,@ARI,,5000,0.0,0.0,9.2,1.8,7.8,1.6,In Dome
Zach McKinstry,SS,SS,LAD,@ARI,,2700,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Joc Pederson,OF,OF,LAD,@ARI,,3800,0.0,0.0,3.2,0.8,5.7,1.5,In Dome
DJ Peters,OF,OF,LAD,@ARI,,2300,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Austin Shenton,3B,3B,SEA,@SF,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Jake Fraley,OF,OF,SEA,@SF,,2000,0.0,0.0,6.4,3.2,6.8,3.4,W 9 Out
Austin Allen,C,C,OAK,HOU,,3500,0.0,0.0,2.2,0.6,2.6,0.8,W 9 Out
Brayan Buelvas,OF,OF,OAK,HOU,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Seth Brown,OF,OF,OAK,HOU,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Luis Barrera,OF,OF,OAK,HOU,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Matt Chapman,3B,3B,OAK,HOU,,4900,0.0,0.0,4.8,1.0,8.4,1.7,W 9 Out
Robert Puason,SS,SS,OAK,HOU,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Tyler Soderstrom,C,C,OAK,HOU,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Sheldon Neuse,2B,2B,OAK,HOU,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Nick Allen,SS,SS,OAK,HOU,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Greg Deichmann,OF,OF,OAK,HOU,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Kyle McCann,C,C,OAK,HOU,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Logan Davidson,SS,SS,OAK,HOU,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Skye Bolt,OF,OF,OAK,HOU,,2600,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Dustin Fowler,OF,OF,OAK,HOU,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Chris Shaw,1B,1B/OF,SF,SEA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Will Wilson,SS,SS,SF,SEA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Kean Wong,2B,2B,SF,SEA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Heliot Ramos,OF,OF,SF,SEA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Mallex Smith,OF,OF,SEA,@SF,,2000,0.0,0.0,3.2,1.6,3.1,1.5,W 9 Out
Steven Duggar,OF,OF,SF,SEA,,2000,0.0,0.0,0.0,0.0,1.6,0.8,W 9 Out
Joe McCarthy,OF,OF,SF,SEA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
