Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2020,"Jason Castro","LAA",18,62,52,10,4,4,0,2,5,6,10,0,23,0,0,0,1,0,0,0.192307692,8722
2020,"Justin Smoak","MIL",31,117,106,20,8,7,0,5,12,15,8,0,37,2,1,0,3,0,0,0.188679245,9054
2020,"Lorenzo Cain","MIL",5,21,18,6,5,1,0,0,4,2,3,1,2,0,0,0,1,0,0,0.333333333,9077
2020,"Khris Davis","OAK",19,67,58,9,6,2,0,1,5,6,6,0,19,3,0,0,4,0,0,0.155172413,9112
2020,"Tyler Flowers","ATL",11,40,34,9,5,3,0,1,3,3,5,0,17,1,0,0,0,0,0,0.264705882,9134
2020,"Logan Morrison","MIL",9,28,25,3,1,1,0,1,3,2,3,0,8,0,0,0,0,0,0,0.12,9205
2020,"Paul Goldschmidt","STL",26,107,83,29,20,6,0,3,17,11,22,0,13,1,1,0,2,1,0,0.34939759,9218
2020,"Starling Marte","ARI",33,138,122,38,27,8,1,2,23,14,10,1,19,5,1,0,3,5,2,0.311475409,9241
2020,"AJ Pollock","LAD",33,120,111,29,15,8,0,6,14,17,8,1,25,0,1,0,5,2,1,0.261261261,9256
2020,"Chris Davis","BAL",14,52,49,6,3,3,0,0,3,1,3,0,16,0,0,0,0,0,0,0.122448979,9272
2020,"Brock Holt","2 Tms",17,38,32,3,3,0,0,0,1,1,4,0,11,1,1,0,2,0,0,0.09375,9345
2020,"Evan Longoria","SFG",29,118,107,32,20,7,1,4,18,19,7,0,17,1,3,0,4,0,1,0.29906542,9368
2020,"Matt Adams","ATL",16,51,49,9,5,2,0,2,4,9,2,0,18,0,0,0,3,0,0,0.183673469,9393
2020,"Dustin Garneau","HOU",8,21,17,3,1,0,1,1,3,3,3,0,6,0,0,1,1,0,0,0.176470588,9433
2020,"Yan Gomes","WSN",15,62,57,16,9,4,1,2,8,7,4,0,10,1,0,0,0,0,0,0.280701754,9627
2020,"Christian Vazquez","BOS",30,116,110,28,19,5,0,4,13,12,6,0,30,0,0,0,4,1,0,0.254545454,9774
2020,"Jason Kipnis","CHC",23,77,62,14,7,4,1,2,6,9,14,0,25,0,1,0,1,1,0,0.225806451,9776
2020,"Nolan Arenado","COL",33,142,127,34,20,7,0,7,16,20,11,3,11,0,4,0,5,0,0,0.267716535,9777
2020,"Kyle Seager","SEA",37,151,129,35,20,10,0,5,19,26,15,1,20,2,5,0,4,4,0,0.271317829,9785
2020,"Andrew McCutchen","PHI",28,119,111,30,22,4,0,4,16,20,7,0,18,0,1,0,1,3,0,0.27027027,9847
2020,"DJ LeMahieu","NYY",23,95,88,35,30,1,2,2,17,8,6,0,10,1,0,0,2,1,0,0.397727272,9874
2020,"Jay Bruce","PHI",17,59,56,14,4,3,2,5,8,12,3,0,14,0,0,0,1,0,0,0.25,9892
2020,"Brett Gardner","NYY",25,86,71,12,6,3,0,3,8,6,13,0,23,1,1,0,0,3,1,0.169014084,9927
2020,"Darin Ruf","SFG",21,52,46,11,7,3,0,1,3,9,6,0,13,0,0,0,0,1,0,0.239130434,9929
2020,"Chris Owings","COL",15,44,41,11,8,1,0,2,9,5,3,0,11,0,0,0,0,1,0,0.268292682,10030
2020,"Wil Myers","SDP",34,137,123,36,17,9,1,9,21,25,12,0,38,2,0,0,0,1,0,0.292682926,10047
2020,"Max Stassi","LAA",17,52,45,11,7,0,0,4,6,11,5,0,8,1,1,0,2,0,0,0.244444444,10059
2020,"Jonathan Villar","MIA",30,128,116,31,25,4,0,2,10,9,10,1,32,0,1,1,2,9,5,0.267241379,10071
2020,"Mike Trout","LAA",32,145,123,33,17,3,1,12,26,32,17,4,38,2,3,0,1,1,1,0.268292682,10155
2020,"Billy Hamilton","NYM",13,25,22,1,1,0,0,0,4,1,1,0,3,0,1,1,0,3,0,0.045454545,10199
2020,"Tucker Barnhart","CIN",21,67,61,11,8,2,0,1,3,6,6,0,19,0,0,0,1,0,0,0.180327868,10200
2020,"Jose Iglesias","BAL",20,77,74,30,19,11,0,0,6,13,1,0,11,1,1,0,1,0,0,0.405405405,10231
2020,"Randal Grichuk","TOR",29,127,118,35,20,6,0,9,21,24,8,1,28,0,1,0,1,0,1,0.296610169,10243
2020,"Brandon Belt","SFG",25,95,83,26,14,6,1,5,12,15,12,0,25,0,0,0,4,0,0,0.313253012,10264
2020,"Danny Santana","TEX",15,63,55,8,3,4,0,1,6,7,7,0,24,0,1,0,1,2,0,0.145454545,10322
2020,"Marcell Ozuna","ATL",34,144,124,35,20,7,0,8,19,23,19,2,35,0,1,0,2,0,0,0.282258064,10324
2020,"John Ryan Murphy","PIT",13,34,30,6,6,0,0,0,4,2,3,0,12,0,0,1,1,0,0,0.2,10346
2020,"Domingo Santana","CLE",24,84,70,11,6,3,0,2,6,12,13,0,25,1,0,0,2,0,0,0.157142857,10348
2020,"Adeiny Hechavarria","ATL",12,27,26,5,4,1,0,0,3,0,1,0,7,0,0,0,0,0,0,0.192307692,10459
2020,"Enrique Hernandez","LAD",31,98,93,20,12,4,1,3,14,11,4,0,25,1,0,0,4,0,0,0.215053763,10472
2020,"Derek Dietrich","TEX",13,41,34,7,4,1,0,2,5,4,3,0,10,4,0,0,4,1,0,0.205882352,10542
2020,"Cesar Hernandez","CLE",34,157,136,37,23,12,0,2,18,11,19,0,34,1,0,0,2,0,0,0.272058823,10556
2020,"Gio Urshela","NYY",28,107,92,22,11,5,0,6,16,20,12,0,20,1,2,0,3,1,0,0.239130434,10681
2020,"Corey Dickerson","MIA",26,105,95,23,17,2,0,4,12,9,10,0,17,0,0,0,2,0,1,0.242105263,10762
2020,"Jurickson Profar","SDP",33,123,106,24,18,1,0,5,18,14,12,0,16,3,1,1,0,3,1,0.226415094,10815
2020,"Jedd Gyorko","MIL",20,52,46,12,6,1,0,5,8,9,6,0,18,0,0,0,0,0,0,0.260869565,10816
2020,"Andrelton Simmons","LAA",12,50,46,14,13,1,0,0,8,2,4,0,8,0,0,0,1,1,0,0.304347826,10847
2020,"Adam Duvall","ATL",29,99,91,22,14,3,0,5,14,13,5,0,28,2,1,0,2,0,0,0.241758241,10950
2020,"Greg Garcia","SDP",20,45,38,10,7,3,0,0,3,7,5,0,11,0,0,2,0,1,0,0.263157894,10951
2020,"Phil Gosselin","PHI",19,57,52,17,11,3,0,3,8,11,5,0,14,0,0,0,1,0,0,0.326923076,10953
2020,"Kevin Kiermaier","TBR",31,104,89,21,14,3,2,2,11,14,14,0,26,1,0,0,2,5,1,0.235955056,11038
2020,"Christian Colon","CIN",9,24,23,3,2,1,0,0,3,2,1,0,3,0,0,0,1,1,0,0.130434782,11145
2020,"Kole Calhoun","ARI",32,134,113,24,10,6,0,8,18,19,17,0,32,4,0,0,4,0,1,0.21238938,11200
2020,"Adam Eaton","WSN",29,128,118,28,16,8,1,3,16,15,9,0,24,0,0,1,4,1,0,0.237288135,11205
2020,"Mike Freeman","CLE",11,23,21,5,4,1,0,0,3,1,1,0,7,1,0,0,0,0,0,0.238095238,11241
2020,"Jonathan Schoop","DET",31,130,119,36,25,3,0,8,19,19,6,0,29,2,2,0,5,0,0,0.302521008,11265
2020,"Whit Merrifield","KCR",35,153,139,40,25,8,0,7,22,22,9,0,20,4,1,0,3,7,2,0.287769784,11281
2020,"Jesus Aguilar","MIA",24,102,93,26,17,5,0,4,11,20,6,0,18,0,3,0,5,0,0,0.279569892,11342
2020,"Yasmani Grandal","CHW",26,111,92,21,14,3,0,4,13,14,17,0,35,0,2,0,2,0,0,0.228260869,11368
2020,"Delino DeShields","CLE",17,57,50,13,12,1,0,0,4,4,5,0,15,0,0,2,0,1,2,0.26,11379
2020,"Gary Sanchez","NYY",28,99,86,11,4,1,0,6,9,14,10,0,38,3,0,0,1,0,0,0.127906976,11442
2020,"Mark Canha","OAK",33,142,112,30,19,7,1,3,20,21,21,0,38,6,3,0,0,3,0,0.267857142,11445
2020,"Tony Wolters","COL",25,73,70,16,13,3,0,0,4,7,1,0,18,0,0,2,0,0,0,0.228571428,11470
2020,"Christian Yelich","MIL",32,138,117,23,9,5,1,8,22,16,20,1,40,1,0,0,2,2,1,0.196581196,11477
2020,"Michael A. Taylor","WSN",15,44,42,8,3,2,0,3,6,6,1,0,9,1,0,0,2,0,0,0.19047619,11489
2020,"Manny Machado","SDP",37,162,142,43,23,8,1,11,30,30,18,4,25,0,2,0,8,3,1,0.302816901,11493
2020,"Bryce Harper","PHI",29,124,95,27,15,4,1,7,24,21,24,5,20,2,2,1,4,4,0,0.284210526,11579
2020,"Willson Contreras","CHC",33,125,107,21,11,6,0,4,20,12,11,1,40,6,1,0,4,1,1,0.196261682,11609
2020,"Brandon Drury","TOR",17,49,46,7,6,1,0,0,3,1,2,0,9,0,1,0,0,0,0,0.152173913,11615
2020,"Elias Diaz","COL",9,26,22,5,4,1,0,0,1,0,4,0,5,0,0,0,1,0,0,0.227272727,11680
2020,"Nick Castellanos","CIN",35,144,126,32,13,8,1,10,25,24,14,0,38,3,1,0,2,0,2,0.253968253,11737
2020,"J.T. Realmuto","PHI",29,120,109,29,16,4,0,9,20,25,6,0,35,5,0,0,2,2,1,0.266055045,11739
2020,"Joc Pederson","LAD",30,99,85,17,9,3,0,5,17,11,9,0,22,4,0,0,1,1,0,0.2,11899
2020,"Hanser Alberto","BAL",33,148,140,45,31,12,0,2,24,14,4,0,19,1,1,2,3,1,0,0.321428571,11902
2020,"Joe Panik","TOR",21,66,60,13,10,3,0,0,7,0,6,0,15,0,0,0,3,0,0,0.216666666,11936
2020,"Travis Shaw","TOR",26,99,89,19,14,2,0,3,7,8,10,0,28,0,0,0,4,0,0,0.213483146,11982
2020,"Jon Berti","MIA",23,91,78,19,16,2,0,1,16,6,10,0,25,2,1,0,0,8,2,0.243589743,12037
2020,"Niko Goodrum","DET",30,124,108,21,10,5,1,5,11,17,13,0,49,0,3,0,2,5,0,0.194444444,12092
2020,"Max Kepler","MIN",34,141,121,26,14,5,0,7,17,18,17,0,27,2,1,0,1,3,0,0.214876033,12144
2020,"Nick Ahmed","ARI",35,130,120,29,20,6,0,3,16,17,10,0,29,0,0,0,1,2,0,0.241666666,12147
2020,"Eddie Rosario","MIN",35,138,125,29,18,4,0,7,22,23,13,2,21,0,0,0,0,2,1,0.232,12155
2020,"Austin Barnes","LAD",20,69,60,17,14,2,0,1,9,9,6,0,19,0,1,2,0,2,0,0.283333333,12158
2020,"Ben Gamel","MIL",26,89,82,19,10,5,1,3,8,10,7,0,32,0,0,0,2,0,2,0.231707317,12160
2020,"Xander Bogaerts","BOS",34,133,120,36,21,7,0,8,19,23,12,0,29,0,1,0,2,3,0,0.3,12161
2020,"Miguel Sano","MIN",32,121,105,26,8,11,0,7,21,15,15,1,51,1,0,0,2,0,0,0.247619047,12164
2020,"Jorge Bonifacio","DET",7,21,20,4,3,0,0,1,3,4,1,0,7,0,0,0,1,0,0,0.2,12174
2020,"Maikel Franco","KCR",35,139,130,33,16,11,0,6,14,19,8,0,24,0,1,0,3,1,0,0.253846153,12179
2020,"Jorge Alfaro","MIA",9,32,29,6,4,2,0,0,5,2,0,0,11,3,0,0,0,1,0,0.206896551,12180
2020,"Rougned Odor","TEX",22,86,80,12,7,2,0,3,7,10,4,0,24,1,1,0,2,0,1,0.15,12282
2020,"Tommy La Stella","2 Tms",29,120,102,27,15,8,0,4,15,15,15,0,7,1,1,1,3,1,0,0.264705882,12371
2020,"Beau Taylor","CLE",7,24,21,1,1,0,0,0,1,2,2,0,9,0,0,1,0,0,0,0.047619047,12384
2020,"Kevin Pillar","BOS",30,126,117,32,19,7,2,4,20,13,8,0,23,1,0,0,4,1,1,0.273504273,12434
2020,"Curt Casali","CIN",17,54,44,9,3,1,0,5,7,6,7,0,14,3,0,0,1,0,0,0.204545454,12510
2020,"Kolten Wong","STL",23,94,78,17,15,1,1,0,13,4,12,1,13,2,1,1,0,2,0,0.217948717,12532
