Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Drew Butera (15351281),Drew Butera,15351281,C,2500,LAA@COL 09/13/2020 03:10PM ET,COL,1.75
OF,Brandon Marsh (15351321),Brandon Marsh,15351321,OF,2500,LAA@COL 09/13/2020 03:10PM ET,LAA,0
OF,Jahmai Jones (15351322),Jahmai Jones,15351322,OF,2500,LAA@COL 09/13/2020 03:10PM ET,LAA,0
OF,Jordyn Adams (15351323),Jordyn Adams,15351323,OF,2500,LAA@COL 09/13/2020 03:10PM ET,LAA,0
OF,Yonathan Daza (15351324),Yonathan Daza,15351324,OF,2500,LAA@COL 09/13/2020 03:10PM ET,COL,0
SS,Gabriel Arias (15351320),Gabriel Arias,15351320,SS,2500,SF@SD 09/13/2020 04:10PM ET,SD,0
1B/OF,Jose Marmolejos (15351282),Jose Marmolejos,15351282,1B/OF,2500,SEA@ARI 09/13/2020 04:10PM ET,SEA,7.10
2B/3B,Andy Young (15351325),Andy Young,15351325,2B/3B,2500,SEA@ARI 09/13/2020 04:10PM ET,ARI,4.67
2B,Shed Long Jr. (15351327),Shed Long Jr.,15351327,2B,2500,SEA@ARI 09/13/2020 04:10PM ET,SEA,5.03
SS,Eric Stamets (15351328),Eric Stamets,15351328,SS,2400,LAA@COL 09/13/2020 03:10PM ET,COL,0
OF,Michael Hermosillo (15351329),Michael Hermosillo,15351329,OF,2400,LAA@COL 09/13/2020 03:10PM ET,LAA,2.43
C,Jack Kruger (15351335),Jack Kruger,15351335,C,2400,LAA@COL 09/13/2020 03:10PM ET,LAA,0
OF,Darin Ruf (15351284),Darin Ruf,15351284,OF,2400,SF@SD 09/13/2020 04:10PM ET,SF,5.17
OF,Hudson Head (15351338),Hudson Head,15351338,OF,2400,SF@SD 09/13/2020 04:10PM ET,SD,0
OF,Mitch Haniger (15351330),Mitch Haniger,15351330,OF,2400,SEA@ARI 09/13/2020 04:10PM ET,SEA,0
OF,Jake Fraley (15351331),Jake Fraley,15351331,OF,2400,SEA@ARI 09/13/2020 04:10PM ET,SEA,6.83
OF,Alek Thomas (15351332),Alek Thomas,15351332,OF,2400,SEA@ARI 09/13/2020 04:10PM ET,ARI,0
OF,Corbin Carroll (15351333),Corbin Carroll,15351333,OF,2400,SEA@ARI 09/13/2020 04:10PM ET,ARI,0
OF,Seth Beer (15351334),Seth Beer,15351334,OF,2400,SEA@ARI 09/13/2020 04:10PM ET,ARI,0
OF,Dominic Fletcher (15351336),Dominic Fletcher,15351336,OF,2400,SEA@ARI 09/13/2020 04:10PM ET,ARI,0
3B,Tyler Keenan (15351337),Tyler Keenan,15351337,3B,2400,SEA@ARI 09/13/2020 04:10PM ET,SEA,0
C,Tom Murphy (15351339),Tom Murphy,15351339,C,2400,SEA@ARI 09/13/2020 04:10PM ET,SEA,0
OF,Robert Hassell III (15351344),Robert Hassell III,15351344,OF,2300,SF@SD 09/13/2020 04:10PM ET,SD,0
OF,Jon Jay (15351285),Jon Jay,15351285,OF,2300,SEA@ARI 09/13/2020 04:10PM ET,ARI,3.07
SS,Noelvi Marte (15351340),Noelvi Marte,15351340,SS,2300,SEA@ARI 09/13/2020 04:10PM ET,SEA,0
OF,Julio Rodriguez (15351341),Julio Rodriguez,15351341,OF,2300,SEA@ARI 09/13/2020 04:10PM ET,SEA,0
OF,Zach DeLoach (15351342),Zach DeLoach,15351342,OF,2300,SEA@ARI 09/13/2020 04:10PM ET,SEA,0
OF,Jarred Kelenic (15351343),Jarred Kelenic,15351343,OF,2300,SEA@ARI 09/13/2020 04:10PM ET,SEA,0
3B,Austin Shenton (15351345),Austin Shenton,15351345,3B,2300,SEA@ARI 09/13/2020 04:10PM ET,SEA,0
