team code, game_date, game_number, mlb id, player name, batting order, confirmed, position
COL,9/20/2020,1,641658,Garrett Hampson,6,N,
COL,9/20/2020,1,656541,Sam Hilliard,7,N,
COL,9/20/2020,1,658069,Josh Fuentes,8,N,
COL,9/20/2020,1,547172,Tony Wolters,9,N,
COL,9/20/2020,1,622608,Antonio Senzatela,SP,N,
STL,9/20/2020,1,543939,Kolten Wong,1,N,
STL,9/20/2020,1,669242,Tommy Edman,2,N,
STL,9/20/2020,1,502671,Paul Goldschmidt,3,N,
STL,9/20/2020,1,543543,Brad Miller,4,N,
STL,9/20/2020,1,657557,Paul DeJong,5,N,
STL,9/20/2020,1,572761,Matt Carpenter,6,N,
STL,9/20/2020,1,425877,Yadier Molina,7,N,
STL,9/20/2020,1,641933,Tyler O'Neill,8,N,
STL,9/20/2020,1,664056,Harrison Bader,9,N,
STL,9/20/2020,1,656427,Jack Flaherty,SP,N,
PIT,9/20/2020,1,624428,Adam Frazier,1,N,
PIT,9/20/2020,1,663647,Ke'Bryan Hayes,2,N,
PIT,9/20/2020,1,592567,Colin Moran,3,N,
PIT,9/20/2020,1,605137,Josh Bell,4,N,
PIT,9/20/2020,1,570481,Erik Gonzalez,5,N,
PIT,9/20/2020,1,668804,Bryan Reynolds,6,N,
PIT,9/20/2020,1,570256,Gregory Polanco,7,N,
PIT,9/20/2020,1,621028,Kevin Newman,8,N,
PIT,9/20/2020,1,607732,Jacob Stallings,9,N,
PIT,9/20/2020,1,605397,Joe Musgrove,SP,N,
SF,9/20/2020,1,573262,Mike Yastrzemski,1,N,
SF,9/20/2020,1,543105,Alex Dickerson,2,N,
SF,9/20/2020,1,527038,Wilmer Flores,3,N,
SF,9/20/2020,1,446334,Evan Longoria,4,N,
SF,9/20/2020,1,474832,Brandon Belt,5,N,
SF,9/20/2020,1,663698,Joey Bart,6,N,
SF,9/20/2020,1,573131,Darin Ruf,7,N,
SF,9/20/2020,1,543063,Brandon Crawford,8,N,
SF,9/20/2020,1,643289,Mauricio Dubon,9,N,
SF,9/20/2020,1,542881,Tyler Anderson,SP,N,
OAK,9/20/2020,1,543760,Marcus Semien,1,N,
OAK,9/20/2020,1,600303,Tommy La Stella,2,N,
OAK,9/20/2020,1,572039,Stephen Piscotty,3,N,
OAK,9/20/2020,1,592192,Mark Canha,4,N,
OAK,9/20/2020,1,621566,Matt Olson,5,N,
OAK,9/20/2020,1,501981,Khris Davis,6,N,
OAK,9/20/2020,1,657656,Ramon Laureano,7,N,
OAK,9/20/2020,1,669221,Sean Murphy,8,N,
OAK,9/20/2020,1,605353,Vimael Machin,9,N,
OAK,9/20/2020,1,501985,Mike Minor,SP,N,
TEX,9/20/2020,1,665750,Leody Taveras,1,N,
TEX,9/20/2020,1,641432,Willie Calhoun,2,N,
TEX,9/20/2020,1,643396,Isiah Kiner-Falefa,3,N,
TEX,9/20/2020,1,608336,Joey Gallo,4,N,
TEX,9/20/2020,1,669256,Nick Solak,5,N,
TEX,9/20/2020,1,596059,Rougned Odor,6,N,
TEX,9/20/2020,1,660731,Anderson Tejeda,7,N,
TEX,9/20/2020,1,608597,Ronald Guzman,8,N,
TEX,9/20/2020,1,425772,Jeff Mathis,9,N,
TEX,9/20/2020,1,621129,Kyle Cody,SP,N,
LAA,9/20/2020,1,664058,David Fletcher,1,N,
LAA,9/20/2020,1,665120,Jared Walsh,2,N,
LAA,9/20/2020,1,545361,Mike Trout,3,N,
LAA,9/20/2020,1,543685,Anthony Rendon,4,N,
LAA,9/20/2020,1,405395,Albert Pujols,5,N,
LAA,9/20/2020,1,457708,Justin Upton,6,N,
LAA,9/20/2020,1,545358,Max Stassi,7,N,
LAA,9/20/2020,1,666176,Jo Adell,8,N,
LAA,9/20/2020,1,592743,Andrelton Simmons,9,N,
LAA,9/20/2020,1,527054,Julio Teheran,SP,N,
SD,9/20/2020,1,663757,Trent Grisham,1,N,
SD,9/20/2020,1,665487,Fernando Tatis,2,N,
SD,9/20/2020,1,592518,Manny Machado,3,N,
SD,9/20/2020,1,519048,Mitch Moreland,4,N,
SD,9/20/2020,1,571976,Wil Myers,5,N,
SD,9/20/2020,1,630105,Jake Cronenworth,6,N,
SD,9/20/2020,1,594824,Greg Garcia,7,N,
SD,9/20/2020,1,488771,Jason Castro,8,N,
SD,9/20/2020,1,595777,Jurickson Profar,9,N,
SD,9/20/2020,1,659275,Dinelson Lamet,SP,N,
SEA,9/20/2020,1,664238,Dylan Moore,1,N,
SEA,9/20/2020,1,664034,Ty France,2,N,
